Eng,Th,Romanized
alone,คนเดียว,khondiao
bend,โค้ง,khong
curved,โค้ง,khong
of,ของ,khong
my,ของฉัน,khongchan
solid,ของแข็ง,khongkhaeng
his,ของเขา,khongkhao
yours,ของคุณ,khongkhun
your,ของคุณ,khongkhun
regional,ของแคว้น,khongkhwaen
gift,ของขวัญ,khongkhwan
toy,ของเล่น,khonglen
liquid,ของเหลว,khongleo
its,ของมัน,khongman
theirs,ของพวกเขา,khongphuakkhao
their,ของพวกเขา,khongphuakkhao
our,ของเรา,khongrao
ours,ของเราเอง,khongrao-eng
consistent,คงเส้นคงวา,khongsenkhongwa
waste,ของเสีย,khongsia
constant,คงที่,khongthi
hers,ของเธอ,khongthoe
search,ค้นหา,khonha
somewhat,ค่อนข้าง,khonkhang
rather,ค่อนข้าง,khonkhang
driver,คนขับรถ,khonkhaprot
discover,ค้นพบ,khonphop
stranger,คนแปลกหน้า,khonplaekna
servant,คนรับใช้,khonrapchai
wool,ขนสัตว์,khonsat
concert,คอนเสิร์ต,khonsoet
transport,ขนส่ง,khonsong
edge,ขอบ,khop
extent,ขอบเขต,khopkhet
thanks,ขอบคุณ,khopkhun
thank,ขอบคุณ,khopkhun
claim,ข้อเรียกร้อง,khoriakrong
request,ขอร้อง,khorong
Advertise,โฆษณา,khosana
proposal,ข้อเสนอ,khosanoe
conclusion,ข้อสรุป,khosarup
suggestion,ข้อเสนอแนะ,khosenoenae
recommendation,ข้อเสนอแนะ,khosenoenae
feedback,ข้อเสนอแนะ,khosenoenae
coach,โค้ช,khot
difference,ข้อแตกต่าง,khotaektang
ankle,ข้อเท้า,khothao
excuse,ขอโทษ,khothot
sorry,ขอโทษ,khothot
apologize,ขอโทษ,khothot
agreement,ข้อตกลง,khotoklong
gradually,ค่อยๆ,khoyo
carrot,แครอท,khraet
whom,ใคร,khrai
whose,ใคร,khrai
anyone,ใคร ๆ,khrai  si
anybody,ใคร ๆ,khrai  si
once,ครั้งหนึ่ง,khrangnueng
credit,เครดิต,khredit
religious,เคร่งศาสนา,khrengsatsana
cream,ครีม,khrim
dominate,ครอง,khrong
scheme,โครงการ,khrongkan
project,โครงการ,khrongkan
structure,โครงสร้าง,khrongsang
due,ครบกำหนด,khropkamnot
family,ครอบครัว,khropkhrua
teacher,ครู,khru
kitchen,ครัว,khrua
household,ครัวเรือน,khruaruean
network,เครือข่าย,khrueakhai
device,เครื่อง,khrueang
machine,เครื่อง,khrueang
plane,เครื่องบิน,khrueangbin
instrument,เครื่องดนตรี,khrueangdontri
mark,เครื่องหมาย,khrueangmai
tool,เครื่องมือ,khrueangmue
jewellery,เครื่องเพชรพลอย,khrueangphetphloi
printer,เครื่องพิมพ์,khrueangphim
decoration,เครื่องประดับ,khrueangpradap
heating,เครื่องทำความร้อน,khrueangthamkhwamron
motor,เครื่องยนต์,khrueangyon
engine,เครื่องยนต์,khrueangyon
half,ครึ่ง,khrueng
rough,ขรุขระ,khrukhra
twin,คู่,khu
frighten,ขู่,khu
threaten,ขู่,khu
couple,คู่,khu
pair,คู่,khu
ought,ควร,khuan
should,ควร,khuan
control,ควบคุม,khuapkhum
bottle,ขวด,khuat
increasingly,ขึ้น,khuen
up,ขึ้น,khuen
tonight,คืนนี้,khuenni
depend,ขึ้นอยู่กับ,khuenyukap
prison,คุก,khuk
competitor,คู่แข่ง,khukhaeng
opponent,คู่แข่ง,khukhaeng
worth,คุ้มค่า,khumkha
guide,คู่มือ,khumue
you,คุณ,khun
multiply,คูณ,khun
familiar,คุ้นเคย,khunkhoei
doctor,คุณหมอ,khunmo
quality,คุณภาพ,khunphap
grandfather,คุณปู่,khunpu
qualification,คุณสมบัติ,khunsombat
property,คุณสมบัติ,khunsombat
moral,คุณธรรม,khuntham
dig,ขุด,khut
grab,คว้า,khwa
right,ขวา,khwa
hang,แขวน,khwaen
shame,ความอัปยศ,khwam-apayot
weakness,ความอ่อนแอ,khwam-on-ae
plenty,ความอุดมสมบูรณ์,khwam-udomsombun
entertain,ความบันเทิง,khwambanthoeng
pain,ความเจ็บปวด,khwamcheppuat
truth,ความจริง,khwamching
reality,ความจริง,khwamching
fact,ความจริง,khwamching
capacity,ความจุ,khwamchu
belief,ความเชื่อ,khwamchuea
faith,ความเชื่อ,khwamchuea
Advantage,ความได้เปรียบ,khwamdaipriap
pressure,ความดัน,khwamdan
sympathy,ความเห็นอกเห็นใจ,khwamhenokhenchai
strength,ความแข็งแรง,khwamkhaengraeng
understanding,ความเข้าใจ,khwamkhaochai
expectation,ความคาดหวัง,khwamkhatwang
thought,ความคิด,khwamkhit
idea,ความคิด,khwamkhit
notion,ความคิด,khwamkhit
thinking,ความคิด,khwamkhit
opinion,ความคิดเห็น,khwamkhithen
initiative,ความคิดริเริ่ม,khwamkhitriroem
creative,ความคิดสร้างสรรค์,khwamkhitsangsan
similarity,ความคล้ายคลึงกัน,khwamkhlaikhluengkan
contrast,ความคมชัด,khwamkhomchat
comedy,ความขบขัน,khwamkhopkhan
progress,ความคืบหน้า,khwamkhuepna
value,ความคุ้มค่า,khwamkhumkha
courage,ความกล้าหาญ,khwamklahan
enthusiasm,ความกระตือรือร้น,khwamkratuerueron
anger,ความโกรธ,khwamkrot
delay,ความล่าช้า,khwamlacha
variety,ความหลากหลาย,khwamlaklai
secret,ความลับ,khwamlap
relief,ความโล่งอก,khwamlo-ngok
failure,ความล้มเหลว,khwamlomleo
depth,ความลึก,khwamluek
mystery,ความลึกลับ,khwamlueklap
meaning,ความหมาย,khwammai
confidence,ความมั่นใจ,khwammanchai
wealth,ความมั่งคั่ง,khwammangkhang
commitment,ความมุ่งมั่น,khwammungman
horror,ความน่ากลัว,khwamnaklua
beauty,ความงาม,khwamngam
silence,ความเงียบ,khwamngiap
popularity,ความนิยม,khwamniyom
possibility,ความเป็นไปได้,khwampenbaidai
leadership,ความเป็นผู้นำ,khwampenphunam
privacy,ความเป็นส่วนตัว,khwampensuantua
being,ความเป็นอยู่,khwampenyu
defeat,ความพ่ายแพ้,khwamphaiphae
effort,ความพยายาม,khwamphayayam
fault,ความผิด,khwamphit
error,ความผิดพลาด,khwamphitphlat
satisfied,ความพึงพอใจ,khwamphuengphochai
joy,ความปิติยินดี,khwampitiyindi
safety,ความปลอดภัย,khwamplotphai
security,ความปลอดภัย,khwamplotphai
conduct,ความประพฤติ,khwampraphriti
impression,ความประทับใจ,khwamprathapchai
responsibility,ความรับผิดชอบ,khwamrapphitchop
speed,ความเร็ว,khwamreo
heat,ความร้อน,khwamron
knowledge,ความรู้,khwamru
violence,ความรุนแรง,khwamrunraeng
sense,ความรู้สึก,khwamrusuek
feeling,ความรู้สึก,khwamrusuek
peace,ความสงบ,khwamsa-ngop
comfort,ความสบายใจ,khwamsabaichai
ability,ความสามารถ,khwamsamat
skill,ความสามารถ,khwamsamat
talent,ความสามารถพิเศษ,khwamsamatthiset
emphasis,ความสำคัญ,khwamsamkhan
importance,ความสำคัญ,khwamsamkhan
relation,ความสัมพันธ์,khwamsamphan
relationship,ความสัมพันธ์,khwamsamphan
achievement,ความสำเร็จ,khwamsamret
success,ความสำเร็จ,khwamsamret
damage,ความเสียหาย,khwamsiahai
injury,ความเสียหาย,khwamsiahai
attention,ความสนใจ,khwamsonchai
happiness,ความสุข,khwamsuk
pleasure,ความสุข,khwamsuk
height,ความสูง,khwamsung
death,ความตาย,khwamtai
intention,ความตั้งใจ,khwamtangchai
ambition,ความทะเยอทะยาน,khwamthayoethayan
frequency,ความถี่,khwamthi
requirement,ความต้องการ,khwamtongkan
desire,ความต้องการ,khwamtongkan
demand,ความต้องการ,khwamtongkan
need,ความต้องการ,khwamtongkan
stress,ความตึงเครียด,khwamtuengkhriat
excitement,ความตื่นเต้น,khwamtuenten
hope,ความหวัง,khwamwang
difficulty,ความยาก,khwamyak
poverty,ความยากจน,khwamyakchon
length,ความยาว,khwamyao
mess,ความยุ่งเหยิง,khwamyungyoeng
justice,ความยุติธรรม,khwamyutitham
smoke,ควัน,khwan
pitch,ขว้าง,khwang
about,เกี่ยวกับ,kiaokap
educational,เกี่ยวกับการศึกษา,kiaokapkansueksa
connected,เกี่ยวข้อง,kiaokhong
honour,เกียรติ,kiat
sport,กีฬา,kila
baseball,กีฬาเบสบอล,kilabetbon
kilometre,กิโลเมตร,kilomet
eat,กิน,kin
guitar,กีตาร์,kita
activity,กิจกรรม,kitchakam
routine,กิจวัตรประจำวัน,kitwatprachamwan
pretend,แกล้งทำ,klaengtham
brave,กล้าหาญ,klahan
near,ใกล้,klai
become,กลายเป็น,klaipen
muscle,กล้ามเนื้อ,klamnuea
medium,กลาง,klang
middle,กลาง,klang
outdoor,กลางแจ้ง,klangchaeng
outdoors,กลางแจ้ง,klangchaeng
night,กลางคืน,klangkhuen
accuse,กล่าวโทษ,klaothot
mention,กล่าวถึง,klaothueng
return,กลับ,klap
back,กลับ,klap
turn,กลับ,klap
hate,เกลียด,kliat
smell,กลิ่น,klin
camera,กล้อง,klong
drum,กลอง,klong
box,กล่อง,klong
frightened,กลัว,klua
scared,กลัว,klua
fear,กลัว,klua
banana,กล้วย,kluai
hollow,กลวง,kluang
salt,เกลือ,kluea
group,กลุ่ม,klum
island,เกาะ,ko
golf,กอล์ฟ,ko
beyond,เกิน,koen
over,เกิน,koen
too,เกินไป,koenpai
born,เกิด,koet
happen,เกิดขึ้น,koetkhuen
arise,เกิดขึ้น,koetkhuen
occur,เกิดขึ้น,koetkhuen
react,เกิดปฏิกิริยา,koetpatikiriya
pose,ก่อให้เกิด,kohaikoet
lie,โกหก,kohok
lie,โกหก,kohok
bent,ก้ม,kom
before,ก่อน,kon
previous,ก่อน,kon
pile,กอง,kong
cheat,โกง,kong
army,กองทัพบก,kongthapbok
fund,กองทุน,kongthun
strategy,กลยุทธ์,konlayut
previously,ก่อนหน้านี้,konnani
frog,กบ,kop
case,กรณี,korani
emergency,กรณีฉุกเฉิน,koranichukchoen
July,กรกฎาคม,korokdakhom
press,กด,kot
rule,กฎ,kot
law,กฎหมาย,kotmai
process,กระบวนการ,krabuankan
distribute,กระจาย,krachai
glass,กระจก,krachok
mirror,กระจกเงา,krachokngao
paper,กระดาษ,kradat
bell,กระดิ่ง,krading
jump,กระโดด,kradot
bone,กระดูก,kraduk
thirsty,กระหายน้ำ,krahainam
pocket,กระเป๋าเสื้อ,krapaosuea
stomach,กระเพาะอาหาร,krapho-ahan
skirt,กระโปรง,kraprong
stream,กระแส,krasae
whisper,กระซิบ,krasip
bullet,กระสุน,krasun
pan,กระทะ,kratha
cottage,กระท่อม,krathom
theme,กระทู้,krathu
enthusiastic,กระตือรือร้น,kratuerueron
keen,กระตือรือร้น,kratuerueron
urge,กระตุ้น,kratun
anxious,กระวนกระวาย,krawankrawai
afraid,เกรงกลัว,krengklua
grade,เกรด,kret
scream,กรีดร้อง,kritrong
frame,กรอบ,krop
angry,โกรธ,krot
recover,กู้,ku
nearly,เกือบ,kueap
almost,เกือบจะ,kueapcha
February,กุมภาพันธ์,kumphaphan
rescue,กู้ภัย,kuphai
than,กว่า,kwa
broad,กว้าง,kwang
wide,กว้าง,kwang
vast,กว้างใหญ่,kwangyai
sweep,กวาด,kwat
hunt,ล่า,la
ashamed,ละอายใจ,la-aichai
fine,ละเอียด,la-iat
and,และ,lae
exchange,แลกเปลี่ยน,laekplian
pointed,แหลม,laem
source,แหล่ง,laeng
sail,แล่นเรือ,laenruea
already,แล้ว,laeo
then,แล้วก็,laeoko
laptop,แล็ปท็อป,laepthop
flow,ไหล,lai
shoulder,ไหล่,lai
line,ไลน์,lai
several,หลาย,lai
pursue,ไล่ตาม,laitam
multiple,หลายอย่าง,laiyang
drag,ลาก,lak
main,หลัก,lak
principle,หลัก,lak
drama,ละคร,lakhon
goodbye,ลาก่อน,lakon
description,ลักษณะ,laksana
manner,ลักษณะ,laksana
characteristic,ลักษณะเฉพาะ,laksanachapho
feature,ลักษณะเฉพาะ,laksanachapho
course,หลักสูตร,laksut
evidence,หลักฐาน,lakthan
melt,ละลาย,lalai
sequence,ลำดับ,lamdap
throat,ลำคอ,lamkho
yard,ลาน,lan
loudly,ลั่น,lan
behind,หลัง,lang
wash,ล้าง,lang
after,หลังจาก,langchak
roof,หลังคา,langkha
hesitate,ลังเล,langle
million number,ล้านหมายเลข,lanmailek
latest,ล่าสุด,lasut
slope,ลาด,lat
abandon,ละทิ้ง,lathing
steel,เหล็ก,lek
iron,เหล็ก,lek
small,เล็ก,lek
maths,เลข,lek
secretary,เลขานุการ,lekhanukan
helicopter,เฮลิคอปเตอร์,lekhopaooe
slightly,เล็กน้อย,leknoi
slight,เล็กน้อย,leknoi
play,เล่น,len
nail,เล็บ,lep
avoid,หลีกเลี่ยงการ,likliangkan
taste,ลิ้มรส,limrot
tongue,ลิ้น,lin
link,ลิงค์,ling
monkey,ลิง,ling
wheel,ล้อ,lo
dozen,โหล,lo
cast,หล่อ,lo
quit,เลิก,loek
metal,โลหะ,loha
float,ลอย,loi
world,โลก,lok
earth,โลก,lok
lock,ล็อค,lok
breath,ลมหายใจ,lomhaichai
fail,ล้มเหลว,lomleo
collapse,ล่มสลาย,lomsalai
drop,หล่น,lon
try,ลอง,long
down,ลง,long
downwards,ลงต่ำ,longtam
punish,ลงโทษ,longthot
invest,ลงทุน,longthun
remove,ลบ,lop
reduce,ลด,lot
tube,หลอด,lot
decrease,ลดลง,lotlong
lower,ลดลง,lotlong
decline,ลดลง,lotlong
loose,หลวม,luam
royal,หลวง,luang
ahead,ล่วงหน้า,luangna
wire,ลวด,luat
incredible,เหลือเชื่อ,lueachuea
incredibly,เหลือเชื่อ,lueachuea
choose,เลือก,lueak
select,เลือก,lueak
pick,เลือก,lueak
blood,เลือด,lueat
deeply,ลึก,luek
deep,ลึก,luek
mysterious,ลึกลับ,lueklap
forget,ลืม,luem
slip,ลื่น,luen
ball,ลูกบอล,lukbon
son,ลูกชาย,lukchai
employee,ลูกจ้าง,lukchang
customer,ลูกค้า,lukkha
client,ลูกค้า,lukkha
rise,ลุกขึ้น,lukkhuen
cousin,ลูกพี่ลูกน้อง,lukphiluknong
daughter,ลูกสาว,luksao
uncle,ลุง,lung
horse,ม้า,ma
dog,หมา,ma
come,มา,ma
though,แม้,mae
mother,แม่,mae
even,แม้,mae
mum,แม่,mae
despite,แม้จะมี,maechami
river,แม่น้ำ,maenam
spider,แมงมุม,maengmum
although,แม้ว่า,maeo
cat,แมว,maeo
ocean,มหาสมุทร,mahasamut
enormous,มหาศาล,mahasan
university,มหาวิทยาลัย,mahawitthayalai
not,ไม่,mai
mile,ไมล์,mai
no,ไม่,mai
new,ใหม่,mai
nor,ไม่,mai
wood,ไม้,mai
unnecessary,ไม่จำเป็น,maichampen
dislike,ไม่ชอบ,maichop
cannot,ไม่ได้,maidai
unconscious,ไม่ได้สติ,maidaisati
bad,ไม่ดี,maidi
badly,ไม่ดี,maidi
disagree,ไม่เห็นด้วย,maihenduai
opposed,ไม่เห็นด้วย,maihenduai
unexpected,ไม่คาดฝัน,maikhatfan
never,ไม่เคย,maikhoei
without,ไม่มี,maimi
none,ไม่มี,maimi
lack,ไม่มี,maimi
nothing,ไม่มีอะไร,maimi-arai
nobody,ไม่มีใคร,maimikhrai
no one,ไม่มีใคร,maimikhrai
unhappy,ไม่มีความสุข,maimikhwamsuk
nowhere,ไม่มีที่ไหนเลย,maimithihailoei
unlikely,ไม่แน่,mainae
informal,ไม่เป็นทางการ,maipenthangkan
unpleasant,ไม่เป็นที่พอใจ,maipenthiphochai
unable,ไม่สามารถ,maisamat
unknown,ไม่ทราบ,maisap
ignore,ไม่สนใจ,maisonchai
dishonest,ไม่สุจริต,maisutcharit
wrong,ไม่ถูกต้อง,maithuktong
busy,ไม่ว่าง,maiwang
unfair,ไม่ยุติธรรม,maiyutitham
massive,มาก,mak
much,มาก,mak
very,มาก,mak
accompany,มากับ,makap
usually,มักจะ,makcha
tomato,มะเขือเทศ,makhueathet
more,มากกว่า,makkwa
numerous,มากมาย,makmai
most,มากที่สุด,makthisut
ago,มาแล้ว,malaeo
insect,แมลง,maleng
curtain,ม่าน,man
IT,มัน,man
engaged,หมั้น,man
it,มัน,man
lemon,มะนาว,manao
confident,มั่นใจ,manchai
potato,มันฝรั่ง,manfarang
steady,มั่นคง,mankhong
shiny,มันเงา,manngao
fascinating,มโนหร,manohon
spiritual,มโนมัย,manomai
fellow,มนุษย์,manut
drunk,เมา,mao
mouse,เม้าส์,mao
smartphone,มาร์ทโฟน,matfafon
arrive,มาถึง,mathueng
section,มาตรา,matra
standard,มาตรฐาน,matthan
magic,มายากล,mayakon
cloud,เมฆ,mek
grain,เมล็ดข้าว,meletkhao
seed,เมล็ดพันธุ์,meletphan
menu,เมนู,menu
April,เมษายน,mesayon
metre,เมตร,met
have,มี,mi
possess,มี,mi
bear (animal),หมี (สัตว์),mi phasat
bear (deal with),หมี (ข้อตกลงกับ),mi phokklongkap
powerful,มีอำนาจ,mi-amnat
aged,มีอายุ,mi-ayu
influence,มีอิทธิพล,mi-itthiphon
otherwise,มิฉะนั้น,michanan
alive,มีชีวิตอยู่,michiwityu
famous,มีชื่อเสียง,michuesiang
reasonable,มีเหตุผล,mihetphon
have to modal,มีการกิริยา,mikankiriya
valuable,มีคุณค่า,mikhunkha
qualified,มีคุณสมบัติ,mikhunsombat
qualify,มีคุณสมบัติ,mikhunsombat
talented,มีความสามารถ,mikhwamsamat
happy,มีความสุข,mikhwamsuk
tend,มีแนวโน้ม,minaeonom
March,มีนาคม,minakhom
affect,มีผลต่อ,miphonto
effective,มีประสิทธิภาพ,miprasitthiphap
effectively,มีประสิทธิภาพ,miprasitthiphap
useful,มีประโยชน์,miprayot
stable,มีเสถียรภาพ,misathianphap
conscious,มีสติอยู่,misatiyu
attractive,มีเสน่ห์,misene
coloured,มีสี,misi
alcoholic,มีส่วนผสมของแอลกอฮอล์,misuanphasomkhong-aekkaho
participate,มีส่วนร่วม,misuanruam
knife,มีด,mit
June,มิถุนายน,mithunayon
friendship,มิตรภาพ,mitphap
pot,หม้อ,mo
January,มกราคม,mokrakhom
o’clock,โมง,mong
pollution,มลพิษ,monphit
suitable,เหมาะสม,mosom
decent,เหมาะสม,mosom
proper,เหมาะสม,mosom
desperate,หมดหวัง,motwang
pig,หมู,mu
hat,หมวก,muak
mass,มวล,muan
roll,ม้วน,muan
village,หมู่บ้าน,muban
hand,มือ,mue
professional,มืออาชีพ,mue-achip
upon,เมื่อ,muea
like (similar),เหมือน (คล้าย),muean phakhlai
realistic,เหมือนจริง,mueanching
city,เมือง,mueang
capital,เมืองหลวง,mueangluang
same,เหมือนกัน,mueankan
uniform,เหมือนกัน,mueankan
similarly,เหมือนกับ,mueankap
when,เมื่อไหร่,muearai
whenever,เมื่อไรก็ตาม,muearaikotam
recently,เมื่อเร็ว ๆ นี้,mueareo ni
recent,เมื่อเร็ว ๆ นี้,mueareo ni
yesterday,เมื่อวาน,mueawan
dark,มืด,muet
angle,มุม,mum
corner,มุม,mum
perspective,มุมมอง,mummong
determined,มุ่งมั่น,mungman
pin,หมุด,mut
thick,หนา,na
page,หน้า,na
embarrassing,น่าอาย,na-ai
amazing,น่าอัศจรรย์,na-atchan
fantastic,น่าอัศจรรย์,na-atchan
chest,หน้าอก,na-ok
boring,น่าเบื่อ,nabuea
monitor,หน้าจอ,nacho
reliable,น่าเชื่อถือ,nachueathue
sure,แน่ใจ,naechai
tight,แน่น,naen
certain,แน่นอน,naenon
exact,แน่นอน,naenon
absolute,แน่นอน,naenon
concept,แนวคิด,naeokhit
trend,แนวโน้ม,naeonom
attach,แนบ,naep
in,ใน,nai
boss,นาย,nai
ideal,ในอุดมคติ,nai-udomkhati
indoors,ในบ้าน,naiban
employer,นายจ้าง,naichang
meanwhile,ในขณะเดียวกัน,naikhanadiaokan
while,ในขณะที่,naikhanathi
initially,ในขั้นต้น,naikhanton
soon,ในไม่ช้า,naimaicha
among,ในหมู่,naimu
urban,ในเมือง,naimueang
secondly,ในประการที่สอง,naiprakanthisong
local,ในประเทศ,naiprathet
domestic,ในประเทศ,naiprathet
during,ในระหว่าง,nairawang
indoor,ในร่ม,nairom
abroad,ในต่างประเทศ,naitangprathet
political,ในทางการเมือง,naithangkanmueang
ultimately,ในที่สุด,naithisut
finally,ในที่สุด,naithisut
eventually,ในที่สุด,naithisut
today,ในวันนี้,naiwanni
heavily,หนัก,nak
heavy,หนัก,nak
designer,นักออกแบบ,nak-okbaep
pilot,นักบิน,nakbin
psychologist,นักจิตวิทยา,nakchitwitthaya
musician,นักดนตรี,nakdontri
politician,นักการเมือง,nakkanmueang
journalist,นักข่าว,nakkhao
writer,นักเขียน,nakkhian
athlete,นักกีฬา,nakkila
ugly,น่าเกลียด,nakliat
scary,น่ากลัว,naklua
awful,น่ากลัว,naklua
terrible,น่ากลัว,naklua
horrible,น่ากลัว,naklua
frightening,น่ากลัว,naklua
student,นักเรียน,nakrian
pupil,นักเรียน,nakrian
singer,นักร้อง,nakrong
actor,นักแสดงชาย,naksadaengchai
actress,นักแสดงหญิง,naksadaengying
detective,นักสืบ,naksuep
traveller,นักท่องเที่ยว,nakthongthiao
tourist,นักท่องเที่ยว,nakthongthiao
prisoner,นักโทษ,nakthot
businessman,นักธุรกิจ,nakthurakit
researcher,นักวิจัย,nakwichai
critic,นักวิจารณ์,nakwichan
scientist,นักวิทยาศาสตร์,nakwitthayasat
clock,นาฬิกา,nalika
water,น้ำ,nam
ice,น้ำแข็ง,namkhaeng
import,นำเข้า,namkhao
adopt,นำมาใช้,nammachai
oil,น้ำมัน,namman
bring,นำมาซึ่ง,nammasueng
weight,น้ำหนัก,namnak
juice,น้ำผลไม้,namphonmai
present,นำเสนอ,namsanoe
sugar,น้ำตาล,namtan
flood,น้ำท่วม,namthuam
rarely,นาน ๆ ครั้ง,nan  chrang
recommend,แนะนำ,nanam
suggest,แนะนำ,nanam
introduce,แนะนำ,nanam
sit,นั่ง,nang
ride,นั่ง,nang
movie,หนัง,nang
action,หนังบู๊,nangbu
miss,นางสาว,nangsao
leather,หนังสัตว์,nangsat
book,หนังสือ,nangsue
passport,หนังสือเดินทาง,nangsuedoenthang
newspaper,หนังสือพิมพ์,nangsuephim
count,นับ,nap
wonder,น่าแปลกใจ,naplaekchai
surprising,น่าแปลกใจ,naplaekchai
lovely,น่ารัก,narak
pretty,น่ารัก,narak
annoying,น่ารำคาญ,naramkhan
offensive,น่ารังเกียจ,narangkiat
hell,นรก,narok
pleasant,น่ารื่นรมย์,naruenrom
unfortunately,น่าเสียดาย,nasiadai
interesting,น่าสนใจ,nasonchai
interest,น่าสนใจ,nasonchai
poor,น่าสงสาร,nasongsan
dancer,นาฏ,nat
window,หน้าต่าง,natang
mission,หน้าที่,nathi
minute,นาที,nathi
duty,หน้าที่,nathi
dramatic,น่าทึ่ง,nathueng
exciting,น่าตื่นเต้น,natuenten
novel,นวนิยาย,nawaniyai
policy,นโยบาย,nayobai
emphasize,เน้น,nen
aspect,แง่มุม,ngaemum
easy,ง่าย,ngai
simple,ง่าย,ngai
simply,ง่ายดาย,ngaidai
task,งาน,ngan
job,งาน,ngan
work,งาน,ngan
hobby,งานอดิเรก,ngan-adirek
celebration,งานเฉลิมฉลอง,nganchaloemchalong
exhibition,งานแสดงนิทรรศการ,ngansadaengnithatsakan
wedding,งานแต่งงาน,ngantaengngan
festival,งานเทศกาล,nganthetkan
shadow,เงา,ngao
silent,เงียบ,ngiap
quiet,เงียบ,ngiap
quietly,เงียบ ๆ,ngiap wo
calm,เงียบสงบ,ngiapsa-ngop
peaceful,เงียบสงบ,ngiapsa-ngop
silly,โง่,ngo
stupid,โง่,ngo
silver,เงิน,ngoen
money,เงิน,ngoen
penny,เงิน,ngoen
pension,เงินบำนาญ,ngoenbamnan
income,เงินได้,ngoendai
salary,เงินเดือน,ngoenduean
loan,เงินกู้,ngoenku
cash,เงินสด,ngoensot
currency,เงินตรา,ngoentra
budget,งบ,ngop
snake,งู,ngu
condition,เงื่อนไข,ngueankhai
clue,เงื่อนงำ,ngueanngam
nervous,หงุดหงิด,ngutngit
this,นี้,ni
escape,หนี,ni
sticky,เหนียว,niao
inch,นิ้ว,nio
finger,นิ้ว,nio
nuclear,นิวเคลียร์,niokhlia
toe,นิ้วเท้า,niothao
habit,นิสัย,nisai
debt,หนี้สิน,nisin
magazine,นิตยสาร,nitayasan
tale,นิทาน,nithan
bit,นิดหน่อย,nitnoi
butter,เนย,noei
hill,เนินเขา,noenkhao
few,น้อย,noi
little,น้อย,noi
less,น้อยกว่า,noikwa
least,น้อยที่สุด,noithisut
bird,นก,nok
furthermore,นอกจากนี้,nokchakni
milk,นม,nom
convince,โน้มน้าวใจ,nomnaochai
sleep,นอน,non
sister,น้องสาว,nongsao
asleep,นอนหลับ,nonlap
unit,หน่วย,nuai
agency,หน่วยงาน,nuai-ngan
memory,หน่วยความจำ,nuaikhwamcham
meat,เนื้อ,nuea
content,เนื้อหา,nueaha
tired,เหนื่อย,nueai
beef,เนื้อวัว,nueawua
one,หนึ่ง,nueng
youth,หนุ่ม,num
young,หนุ่มสาว,numsao
oh,โอ้,o
delicious,อร่อย,oi
out,ออก,ok
broadcast,ออกอากาศ,ok-akat
occasion,โอกาส,okat
chance,โอกาส,okat
prospect,โอกาส,okat
opportunity,โอกาส,okat
design,ออกแบบ,okbaep
leave,ออกจาก,okchak
emerge,ออกมา,okma
pronounce,ออกเสียง,oksiang
mild,อ่อน,on
transfer,โอน,on
weak,อ่อนแอ,on-ae
corporate,องค์กร,ongkon
organization,องค์กร,ongkon
online,ออนไลน์,onlai
soft,อ่อนนุ่ม,onnum
gentle,อ่อนโยน,onyon
bake,อบ,op
warm,อบอุ่น,op-un
patient,อดทน,otthon
wild,ป่า,pa
forest,ป่า,pa
aunt,ป้า,pa
flour,แป้ง,paeng
keyboard,แป้นพิมพ์,paenphim
eight,แปด,paet
eighty,แปดสิบ,paetsip
away,ไป,pai
go,ไป,pai
towards,ไปทาง,paithang
onto,ไปยัง,paiyang
mouth,ปาก,pak
pen,ปากกา,pakka
problem,ปัญหา,panha
trouble,ปัญหา,panha
issue,ปัญหา,panha
target,เป้า,pao
goal,เป้าหมาย,paomai
quantity,ปริมาณ,pariman
volume,ปริมาณ,pariman
factor,ปัจจัย,patchai
current,ปัจจุบัน,patchuban
currently,ปัจจุบัน,patchuban
follow,ปฏิบัติตาม,patibattam
perform,ปฏิบัติการ,patibattan
reaction,ปฏิกิริยา,patikiriya
deny,ปฏิเสธ,patiset
reject,ปฏิเสธ,patiset
be,เป็น,pen
harmful,เป็นอันตราย,pen-antrai
dangerous,เป็นอันตราย,pen-antrai
unique,เป็นเอกลักษณ์,pen-eklak
likely,เป็นไปได้,penbaidai
possible,เป็นไปได้,penbaidai
partly,เป็นบางส่วน,penbangsuan
belong,เป็นของ,penkhong
occasionally,เป็นครั้งคราว,penkhrangkhrao
first,เป็นครั้งแรก,penkhrangraek
human,เป็นมนุษย์,penmanut
friendly,เป็นมิตร,penmit
owe,เป็นหนี้,penni
impossible,เป็นไปไม่ได้,penpaimaidai
poisonous,เป็นพิษ,penphit
basically,เป็นพื้น,penphuen
typically,เป็นปกติ,penpokati
helpful,เป็นประโยชน์,penprayot
happily,เป็นสุข,pensuk
naturally,เป็นธรรมชาติ,penthammachat
formal,เป็นทางการ,penthangkan
official,เป็นทางการ,penthangkan
popular,เป็นที่นิยม,penthiniyom
original,เป็นต้นฉบับ,pentonchabap
cloth,ผ้า,pha
container,ภาชนะ,phachana
lose,แพ้,phae
pack,แพ็ค,phaek
sheet,แผ่น,phaen
earthquake,แผ่นดินไหว,phaendinwai
division,แผนก,phaenek
panel,แผงหน้าปัด,phaengnapat
reception,แผนกต้อนรับ,phaenktonrap
