Eng,Th,Romanized
example,ตัวอย่าง,tuayyang
himself,ตัวเขาเอง,tuakhao-eng
herself,ตัวเธอเอง,tuatho--eng
town,ตัวเมือง,tuamueang
ourselves,ตัวเรา,tuarao
option,ตัวเลือก,tualueak
itself,ตัวเอง,tua-eng
themselves,ตัวเอง,tua-eng
representative,ตัวแทน,tuathaen
agent,ตัวแทน,tuathaen
pregnant,ตั้งครรภ์,tangkhan
locate,ตั้งอยู่,tangyu
since,ตั้งแต่,tangtae
intend,ตั้งใจ,tangchai
intended,ตั้งใจว่า,tangchaiwa
ticket,ตั๋ว,tua
eye,ตา,ta
blind,ตาบอด,tabot
according to,ตาม,tam
along,ตาม,tam
usual,ตามปกติ,tampokti
ethical,ตามหลักจริยธรรม,tamlakchariyatham
typical,ตามแบบฉบับ,tambaepchabap
dead,ตาย,tai
die,ตาย,tai
table,ตาราง,tarang
schedule,ตารางเวลา,tarangwela
police,ตำรวจ,tamruat
blame,ตำหนิ,tamni
position,ตำแหน่ง,tamnaeng
stick (push into/attach),ติด (การผลักดันเข้า / แนบ),tit phakanphalakdankhaep
stick (piece of wood),ติด (ชิ้นส่วนของไม้),tit bachinsuankhongmai
install,ติดตั้ง,tittang
track,ติดตาม,tittam
contact,ติดต่อ,titto
hit,ตี,ti
beat,ตี,ti
interpret,ตีความ,tikhwam
excited,ตื่นเต้น,tuenten
shallow,ตื้น,tuen
bother,ตื๊อ,tue
October,ตุลาคม,tulakhom
cupboard,ตู้,tu
fridge,ตู้เย็น,tuyen
continue,ต่อ,to
per,ต่อ,to
oppose,ต่อต้าน,totan
resist,ต่อต้าน,totan
against,ต่อต้าน,totan
later,ต่อมา,toma
extend,ต่ออายุ,to-ayu
continuous,ต่อเนื่องกัน,tonueangkan
next,ต่อไป,topai
next to,ต่อไป,topai
further,ต่อไป,topai
different,ต่าง,tang
differently,ต่างกัน,tangkan
foreign,ต่างประเทศ,tangprathet
apart,ต่างหาก,tanghak
various,ต่างๆ,tango
low,ต่ำ,tam
script,ต้นฉบับ,tonchabap
tree,ต้นไม้,tonmai
boil,ต้ม,tom
want,ต้องการ,tongkan
must modal,ต้องเป็นกิริยาช่วย,tongpenkiriyachuai
street,ถนน,thanon
road,ถนน,thanon
retired,ถอยออก,thoi-ok
bin,ถัง,thang
tank,ถัง,thang
bean,ถั่ว,thua
nut,ถั่ว,thua
ask,ถาม,tham
permanent,ถาวร,thawon
to,ถึง,thueng
hold,ถือ,thue
bag,ถุง,thung
glove,ถุงมือ,thungmue
sock,ถุงเท้า,thungthao
rub,ถู,thu
cheap,ถูก,thuk
limited,ถูก จำกัด,thuk chamkat
legal,ถูกกฎหมาย,thukkotmai
all right,ถูกต้อง,thuktong
accurate,ถูกต้อง,thuktong
coal,ถ่านหิน,thanhin
photograph,ถ่ายภาพ,thaiphap
cup,ถ้วย,thuai
if,ถ้า,tha
test,ทดสอบ,thotsop
lawyer,ทนายความ,thanaikhwam
review,ทบทวน,thopthuan
resource,ทรัพยากร,sapphayakon
know,ทราบ,sap
aware,ทราบ,sap
sand,ทราย,sai
theory,ทฤษฎี,thritsadi
continent,ทวีป,thawip
decade,ทศวรรษ,thosawat
military,ทหาร,thahan
soldier,ทหาร,thahan
gold,ทอง,thong
fry,ทอด,thot
ambitious,ทะเยอทะยาน,thayoethayan
sea,ทะเล,thale
desert,ทะเลทราย,thalesai
lake,ทะเลสาป,thalesap
greet,ทักทาย,thakthai
dentist,ทันตแพทย์,thantaphaet
immediately,ทันที,thanthi
immediate,ทันทีทันใด,thanthithandai
fashionable,ทันสมัย,thansamai
modern,ทันสมัย,thansamai
suddenly,ทันใดนั้น,thandainan
global,ทั่วโลก,thualok
worldwide,ทั่วโลก,thualok
general,ทั่วไป,thuapai
either,ทั้ง,thang
both,ทั้งสอง,thangsong
whole,ทั้งหมด,thangmot
entire,ทั้งหมด,thangmot
all,ทั้งหมด,thangmot
overall,ทั้งหมด,thangmot
way,ทาง,thang
medical,ทางการแพทย์,thangkanphaet
eastern,ทางตะวันออก,thangtawan-ok
east,ทางทิศตะวันออก,thangthittawan-ok
north,ทางทิศเหนือ,thangthitnuea
south,ทางทิศใต้,thangthittai
railway,ทางรถไฟ,thangrotfai
runner,ทางวิ่ง,thangwing
indirect,ทางอ้อม,thang-om
entrance,ทางเข้า,thangkhao
passage,ทางเดิน,thangdoen
sexual,ทางเพศ,thangphet
alternative,ทางเลือก,thanglueak
choice,ทางเลือก,thanglueak
mental,ทางใจ,thangchai
southern,ทางใต้,thangtai
baby,ทารก,tharok
slave,ทาส,that
do,ทำ,tham
operate,ทำงาน,thamngan
repeat,ทำซ้ำ,thamsam
wooden,ทำด้วยไม้,thamduaimai
tune,ทำนองเพลง,thamnongphleng
predict,ทำนาย,thamnai
destroy,ทำลาย,thamlai
act,ทำหน้าที่,thamnathi
improve,ทำให้ดีขึ้น,thamhaidikhuen
enhance,ทำให้ดีขึ้น,thamhaidikhuen
ensure,ทำให้มั่นใจ,thammaimanchai
enable,ทำให้สามารถ,thamhaisamat
confusing,ทำให้เกิดความสับสน,thamhaikoetkhwamsapson
why,ทำไม,thammai
west,ทิศตะวันตก,thittawantok
direction,ทิศทาง,thitthang
team,ทีม,thim
quite,ทีเดียว,thidiao
which,ที่,thi
at,ที่,thi
that,ที่,thi
expected,ที่คาดหวัง,thikhatwang
killing,ที่ฆ่า,thikha
actual,ที่จริง,thiching
parking,ที่จอดรถ,thichotrot
favourite,ที่ชื่นชอบ,thichuenchop
estate,ที่ดิน,thidin
land,ที่ดิน,thidin
location,ที่ตั้ง,thitang
located,ที่ตั้งอยู่,thitangyu
seat,ที่นั่ง,thinang
there,ที่นั่น,thinan
here,ที่นี่,thini
disappointing,ที่น่าผิดหวัง,thinaphitwang
successful,ที่ประสบความสำเร็จ,thiprasopkhwamsamret
illegal,ที่ผิดกฎหมาย,thiphitkotmai
accommodation,ที่พัก,thiphak
shelter,ที่พักอาศัย,thiphak-asai
origin,ที่มา,thima
experienced,ที่มีประสบการณ์,thimiprasopkan
efficient,ที่มีประสิทธิภาพ,thimiprasitthiphap
exist,ที่มีอยู่,thimiyu
included,ที่รวมอยู่,thiruamyu
dear,ที่รัก,thirak
plain,ที่ราบ,thirap
surrounding,ที่ล้อมรอบ,thilomrop
third,ที่สาม,thisam
fourth,ที่สี่,thisi
smoking,ที่สูบบุหรี่,thisupburi
fifth,ที่ห้า,thiha
address,ที่อยู่,thiyu
potential,ที่อาจเกิดขึ้น,thi-atkoetkhuen
elsewhere,ที่อื่น ๆ,thi-uen 1
associated,ที่เกี่ยวข้อง,thikiaokhong
involved,ที่เกี่ยวข้อง,thikiaokhong
concerned,ที่เกี่ยวข้อง,thikiaokhong
relevant,ที่เกี่ยวข้อง,thikiaokhong
related,ที่เกี่ยวข้อง,thikiaokhong
associate,ที่เกี่ยวข้อง,thikiaokhong
leisure,ที่เดินทางมาพักผ่อน,thidoenthangmaphakphon
prepared,ที่เตรียมไว้,thitriamwai
injured,ที่ได้รับบาดเจ็บ,thidairapbatchep
where,ที่ไหน,thihai
wherever,ที่ไหนก็ตาม,thinaikotam
everyone,ทุกคน,thukkhon
everybody,ทุกคน,thukkhon
everywhere,ทุกที่,thukthi
everyday,ทุกวัน,thukwan
everything,ทุกอย่าง,thukyang
anywhere,ทุกแห่ง,thukhaeng
every,ทุกๆ,thuko
grant,ทุน,thun
pipe,ท่อ,tho
attitude,ท่าที,thathi
sir,ท่าน,than
port,ท่าเรือ,tharuea
sky,ท้องฟ้า,thongfa
challenge,ท้าทาย,thathai
flag,ธง,thong
bank (money),ธนาคาร (เงิน),thanakhan pha-ngoeno
bank (river),ธนาคาร (แม่น้ำ),thanakhan phamaenam
fair,ธรรม,tham
nature,ธรรมชาติ,thammachat
wildlife,ธรรมชาติ,thammachat
December,ธันวาคม,thanwakhom
element,ธาตุ,that
business,ธุรกิจ,thurakit
bird,นก,nok
milk,นม,nom
hell,นรก,narok
novel,นวนิยาย,nawaniyai
furthermore,นอกจากนี้,nokchakni
sleep,นอน,non
asleep,นอนหลับ,nonlap
politician,นักการเมือง,nakkanmueang
athlete,นักกีฬา,nakkila
journalist,นักข่าว,nakkhao
psychologist,นักจิตวิทยา,nakchitwitthaya
musician,นักดนตรี,nakdontri
tourist,นักท่องเที่ยว,nakthongthiao
traveller,นักท่องเที่ยว,nakthongthiao
businessman,นักธุรกิจ,nakthurakit
pilot,นักบิน,nakbin
singer,นักร้อง,nakrong
researcher,นักวิจัย,nakwichai
critic,นักวิจารณ์,nakwichan
scientist,นักวิทยาศาสตร์,nakwitthayasat
detective,นักสืบ,naksuep
designer,นักออกแบบ,nak-okbaep
writer,นักเขียน,nakkhian
pupil,นักเรียน,nakrian
student,นักเรียน,nakrian
actor,นักแสดงชาย,naksadaengchai
actress,นักแสดงหญิง,naksadaengying
prisoner,นักโทษ,nakthot
count,นับ,nap
sit,นั่ง,nang
ride,นั่ง,nang
miss,นางสาว,nangsao
dancer,นาฏ,nat
minute,นาที,nathi
rarely,นาน ๆ ครั้ง,nan  chrang
boss,นาย,nai
employer,นายจ้าง,naichang
clock,นาฬิกา,nalika
bring,นำมาซึ่ง,nammasueng
adopt,นำมาใช้,nammachai
import,นำเข้า,namkhao
present,นำเสนอ,namsanoe
bit,นิดหน่อย,nitnoi
magazine,นิตยสาร,nitayasan
tale,นิทาน,nithan
nuclear,นิวเคลียร์,niokhlia
habit,นิสัย,nisai
inch,นิ้ว,nio
finger,นิ้ว,nio
toe,นิ้วเท้า,niothao
this,นี้,ni
policy,นโยบาย,nayobai
awful,น่ากลัว,naklua
horrible,น่ากลัว,naklua
frightening,น่ากลัว,naklua
terrible,น่ากลัว,naklua
scary,น่ากลัว,naklua
exciting,น่าตื่นเต้น,natuenten
dramatic,น่าทึ่ง,nathueng
pretty,น่ารัก,narak
lovely,น่ารัก,narak
offensive,น่ารังเกียจ,narangkiat
annoying,น่ารำคาญ,naramkhan
pleasant,น่ารื่นรมย์,naruenrom
poor,น่าสงสาร,nasongsan
interest,น่าสนใจ,nasonchai
interesting,น่าสนใจ,nasonchai
amazing,น่าอัศจรรย์,na-atchan
fantastic,น่าอัศจรรย์,na-atchan
embarrassing,น่าอาย,na-ai
ugly,น่าเกลียด,nakliat
reliable,น่าเชื่อถือ,nachueathue
boring,น่าเบื่อ,nabuea
unfortunately,น่าเสียดาย,nasiadai
wonder,น่าแปลกใจ,naplaekchai
surprising,น่าแปลกใจ,naplaekchai
sister,น้องสาว,nongsao
few,น้อย,noi
little,น้อย,noi
less,น้อยกว่า,noikwa
least,น้อยที่สุด,noithisut
water,น้ำ,nam
sugar,น้ำตาล,namtan
flood,น้ำท่วม,namthuam
juice,น้ำผลไม้,namphonmai
oil,น้ำมัน,namman
weight,น้ำหนัก,namnak
ice,น้ำแข็ง,namkhaeng
chapter,บท,bot
poem,บทกวี,botkawi
poetry,บทกวี,botkawi
article,บทความ,botkhwam
introduction,บทนำ,bothanam
role,บทบาท,botbat
dialogue,บทสนทนา,botsonthana
lesson,บทเรียน,botrian
upper,บน,bon
on,บน,bon
contain,บรรจุ,banchu
package,บรรจุภัณฑ์,banchuphan
editor,บรรณาธิการ,bannathikan
atmosphere,บรรยากาศ,banyakat
achieve,บรรลุ,banlu
waiter,บริกร,borikon
serve,บริการ,borikan
service,บริการ,borikan
donate,บริจาค,borichak
context,บริบท,boribot
company,บริษัท,borisat
firm,บริษัท,borisat
pure,บริสุทธิ์,borisut
consume,บริโภค,boriphok
blog,บล็อก,blok
block,บล็อก,blok
positive,บวก,buak
plus,บวก,buak
tell,บอก,bok
force,บังคับ,bangkhap
account,บัญชีผู้ใช้,banchiphuchai
card,บัตร,bat
save,บันทึก,banthuek
record,บันทึก,banthuek
note,บันทึก,banthuek
stair,บันได,bandai
some,บาง,bang
somebody,บางคน,bangkhon
someone,บางคน,bangkhon
sometimes,บางครั้ง,bangkhrang
perhaps,บางที,bangthi
something,บางสิ่งบางอย่าง,bangsingbangyang
somewhere,บางแห่ง,banghaeng
wound,บาดแผล,batphaen
bye,บาย,bai
bar,บาร์,ba
basketball,บาสเกตบอล,batketbon
fly,บิน,bin
bill,บิล,bin
staff,บุคลากร,buklakon
personality,บุคลิกภาพ,buklikphap
cigarette,บุหรี่,buri
imply,บ่งบอกถึง,bongbokthueng
complain,บ่น,bon
often,บ่อยครั้ง,boikhrang
frequently,บ่อยๆ,boyo
crazy,บ้า,ba
mad,บ้า,ba
home,บ้าน,ban
house,บ้าน,ban
cover,ปก,pok
govern,ปกครอง,pokkhrong
covered,ปกคลุม,pokkhlum
regular,ปกติ,pokti
normally,ปกติ,pokti
normal,ปกติ,pokti
reaction,ปฏิกิริยา,patikiriya
perform,ปฏิบัติการ,patibattan
follow,ปฏิบัติตาม,patibattam
deny,ปฏิเสธ,patiset
reject,ปฏิเสธ,patiset
consist,ประกอบด้วย,prakopduai
include,ประกอบด้วย,prakopduai
insurance,ประกันภัย,prakanphai
firstly,ประการแรก,prakanraek
declare,ประกาศ,prakat
publish,ประกาศ,prakat
announce,ประกาศ,prakat
annual,ประจำปี,prachampi
daily,ประจำวัน,prachamwan
population,ประชากร,prachakon
meeting,ประชุม,prachum
sculpture,ประติมากรรม,pratimakam
door,ประตู,pratu
gate,ประตู,pratu
primary,ประถม,prathom
stamp,ประทับ,prathap
impressed,ประทับใจ,prathapchai
impressive,ประทับใจ,prathapchai
impress,ประทับใจ,prathapchai
protest,ประท้วง,prathuang
president,ประธาน,prathan
chairman,ประธาน,prathan
behave,ประพฤติ,praphriti
fishing,ประมง,pramong
approximately,ประมาณ,praman
estimate,ประมาณการ,pramankan
careless,ประมาท,pramat
practical,ประยุกต์,prayuk
historic,ประวัติศาสตร์,prawattisat
history,ประวัติศาสตร์,prawattisat
historical,ประวัติศาสตร์,prawattisat
wish,ประสงค์,prasong
suffer,ประสบ,prasop
experience,ประสบการณ์,prasopkan
successfully,ประสบความสำเร็จ,prasopkhwamsamret
succeed,ประสบความสำเร็จ,prasopkhwamsamret
performance,ประสิทธิภาพ,prasitthiphap
saving,ประหยัด,prayat
surprised,ประหลาดใจ,pralatchai
amazed,ประหลาดใจ,pralatchai
country,ประเทศ,prathet
nation,ประเทศชาติ,prathetchat
tradition,ประเพณี,prapheni
sort,ประเภท,praphet
category,ประเภท,praphet
genre,ประเภท,praphet
rate,ประเมินค่า,pramoenkha
evaluate,ประเมินผล,pramoenphon
assess,ประเมินผล,pramoenphon
clause,ประโยค,prayok
sentence,ประโยค,prayok
benefit,ประโยชน์,prayot
philosophy,ปรัชญา,pratya
adapt,ปรับ,prap
update,ปรับปรุง,prapprung
modify,ปรับเปลี่ยน,prapplian
appear,ปรากฏ,prakot
phenomenon,ปรากฏการณ์,prakttan
castle,ปราสาท,prasat
volume,ปริมาณ,pariman
quantity,ปริมาณ,pariman
cook,ปรุงอาหาร,prung-ahan
secure,ปลอดภัย,plotphai
safe,ปลอดภัย,plotphai
fish,ปลา,pla
tip,ปลาย,plai
end,ปลาย,plai
destination,ปลายทาง,plaithang
wake,ปลุก,pluk
plant,ปลูก,pluk
release,ปล่อย,ploi
let,ปล่อย,ploi
lung,ปอด,pot
pound,ปอนด์,pon
factor,ปัจจัย,patchai
currently,ปัจจุบัน,patchuban
current,ปัจจุบัน,patchuban
trouble,ปัญหา,panha
problem,ปัญหา,panha
issue,ปัญหา,panha
mouth,ปาก,pak
pen,ปากกา,pakka
shut,ปิด,pit
off,ปิด,pit
closed,ปิด,pit
year,ปี,pi
wing,ปีก,pik
climb,ปีนขึ้นไป,pinkhuenpai
united,ปึกแผ่น,puekphaen
gun,ปืน,puen
button,ปุ่ม,pum
grandparent,ปู่ย่าตายาย,puyatayai
ill,ป่วย,puai
sick,ป่วย,puai
wild,ป่า,pa
forest,ป่า,pa
protect,ป้องกัน,pongkan
defence,ป้องกัน,pongkan
prevent,ป้องกัน,pongkan
defend,ป้องกัน,pongkan
aunt,ป้า,pa
pop,ป๊อปอัพ,pop-ap
powder,ผง,phong
wall,ผนัง,phanang
I,ผม,phom
hair,ผม,phom
me,ผม,phom
outcome,ผล,phon
effect,ผล,phon
consequence,ผลพวง,phonphuang
result,ผลลัพธ์,phonlap
fruit,ผลไม้,phonmai
mixed,ผสม,phasom
mix,ผสม,phasom
thin,ผอม,phom
vegetable,ผัก,phak
pub,ผับ,phap
unusual,ผิดปกติ,phitpokati
mistake,ผิดพลาด,phitphlat
disappointed,ผิดหวัง,phitwang
skin,ผิว,phio
ghost,ผี,phi
bee,ผึ้ง,phueng
tie,ผูก,phuk
commit,ผูกมัด,phukmat
manager,ผู้จัดการ,phuchatkan
winner,ผู้ชนะ,phuchana
audience,ผู้ชม,phuchom
viewer,ผู้ชม,phuchom
guy,ผู้ชาย,phuchai
assistant,ผู้ช่วย,phuchuai
innocent,ผู้บริสุทธิ์,phuborisut
consumer,ผู้บริโภค,phuboriphok
parent,ผู้ปกครอง,phupokkhrong
worker,ผู้ปฏิบัติงาน,phupatibatngan
producer,ผู้ผลิต,phuphlit
trainer,ผู้ฝึกสอน,phufuekson
judge,ผู้พิพากษา,phuphiphaksa
speaker,ผู้พูด,phuphut
listener,ผู้ฟัง,phufang
visitor,ผู้มาเยือน,phumayuean
supporter,ผู้สนับสนุน,phusanapsanun
candidate,ผู้สมัคร,phusamakkhon
reporter,ผู้สื่อข่าว,phusuekhao
lady,ผู้หญิง,phuying
immigrant,ผู้อพยพ,phu-ophayop
resident,ผู้อยู่อาศัย,phuyu-asai
director,ผู้อำนวยการ,phu-amnuaikan
reader,ผู้อ่าน,phu-an
author,ผู้เขียน,phukhian
participant,ผู้เข้าร่วม,phukhaoruam
expert,ผู้เชี่ยวชาญ,phuchiaochan
specialist,ผู้เชี่ยวชาญ,phuchiaochan
minor,ผู้เยาว์,phuyao
player,ผู้เล่น,phulen
passenger,ผู้โดยสาร,phudoisan
user,ผู้ใช้งาน,phuchai-ngan
adult,ผู้ใหญ่,phuyai
relax,ผ่อนคลาย,phonkhlai
relaxing,ผ่อนคลาย,phonkhlai
relaxed,ผ่อนคลาย,phonkhlai
via,ผ่านทาง,phanthang
pass,ผ่านไป,phanpai
cloth,ผ้า,pha
towel,ผ้าขนหนู,phakhonnu
rain,ฝน,fon
shower,ฝักบัว,fakbua
bury,ฝังศพ,fangsop
dream,ฝัน,fan
nightmare,ฝันร้าย,fanrai
cap,ฝาครอบ,fakhrop
lip,ฝีปาก,fipak
dirt,ฝุ่น,fun
dust,ฝุ่น,fun
crowd,ฝูงชน,fungchon
opposition,ฝ่ายค้าน,faikhan
executive,ฝ่ายบริหาร,faiborihan
cotton,ฝ้าย,fai
dictionary,พจนานุกรม,photchananukrom
encounter,พบ,phop
found,พบ,phop
meet,พบกัน,phopkan
witness,พยาน,phayan
nurse,พยาบาล,phayaban
attempt,พยายาม,phayayam
carpet,พรม,phrom
party,พรรค,phak
palace,พระราชวัง,phraratchawang
queen,พระราชินี,phrarachini
priest,พระสงฆ์,phrasong
God,พระเจ้า,phrachao
hero,พระเอก,phra-ek
pepper,พริกไทย,phrikthai
ready,พร้อมแล้ว,phromlaeo
behaviour,พฤติกรรม,phruetikam
November,พฤศจิกายน,phritchikain
energy,พลังงาน,phlangngan
plastic,พลาสติก,phlattik
citizen,พลเมือง,phonmueang
civil,พลเรือน,phonruean
plot,พล็อต,phlot
crew,พวกลูกเรือ,phuaklukruea
them,พวกเขา,phuakkhao
they,พวกเขา,phuakkhao
bunch,พวง,phuang
enough,พอ,pho
equally,พอ ๆ กัน,pho   nakan
fit,พอดี,phodi
satisfy,พอใจ,phochai
develop,พัฒนา,phatthana
development,พัฒนาการ,phatthanakan
thousand,พัน,phan
bond,พันธบัตร,phanthabat
league,พันธมิตร,phanthamit
billion number,พันล้านหมายเลข,phanlanmailek
fold,พับ,phap
folding,พับได้,phapdai
headline,พาดหัว,phathua
storm,พายุ,phayu
hurricane,พายุเฮอริเคน,phayuhoerikhen
vehicle,พาหนะ,phana
consider,พิจารณา,phicharana
deliberate,พิจารณา,phicharana
ceremony,พิธี,phithi
museum,พิพิธภัณฑ์,phiphitphan
print,พิมพ์,phim
range,พิสัย,phisai
prove,พิสูจน์,phisut
proof,พิสูจน์,phisut
special,พิเศษ,phiset
extra,พิเศษ,phiset
brother,พี่ชาย,phichai
crop,พืชผล,phuetphon
ground,พื้น,phuen
fundamental,พื้นฐาน,phuenthan
area,พื้นที่,phuenthi
folk,พื้นบ้าน,phuenban
surface,พื้นผิว,phuenphio
background,พื้นหลัง,phuenlang
native,พื้นเมือง,phuenmueang
bush,พุ่มไม้,phummai
spoken,พูด,phut
say,พูด,phut
speak,พูด,phut
chat,พูดคุย,phutkhui
dad,พ่อ,pho
father,พ่อ,pho
chef,พ่อครัว,phokhrua
free,ฟรี,fri
bubble,ฟอง,fong
listen,ฟัง,fang
function,ฟังก์ชัน,fangchan
tooth,ฟัน,fan
farm,ฟาร์ม,fa
film,ฟิล์ม,fi
physics,ฟิสิกส์,fisik
soccer,ฟุตบอล,futbon
football,ฟุตบอล,futbon
wife,ภรรยา,phanya
disaster,ภัยพิบัติ,phaiphibat
sector,ภาค,phak
northern,ภาคเหนือ,phaknuea
container,ภาชนะ,phachana
picture,ภาพ,phap
visual,ภาพ,phap
image,ภาพ,phap
photo,ภาพถ่าย,phapthai
illustration,ภาพประกอบ,phapprakop
portrait,ภาพเหมือน,phapmuean
external,ภายนอก,phainok
afterwards,ภายหลัง,phailang
under,ภายใต้,phaitai
within,ภายใน,phainai
inside,ภายใน,phainai
internal,ภายใน,phainai
inner,ภายใน,phainai
load,ภาระ,phara
obligation,ภาระผูกพัน,pharaphukphan
language,ภาษา,phasa
tax,ภาษี,phasi
landscape,ภูมิประเทศ,phumprathet
region,ภูมิภาค,phumphak
geography,ภูมิศาสตร์,phumsat
climate,ภูมิอากาศ,phum-akat
proud,ภูมิใจ,phumchai
mountain,ภูเขา,phukhao
mount,ภูเขา,phukhao
January,มกราคม,mokrakhom
fellow,มนุษย์,manut
pollution,มลพิษ,monphit
mass,มวล,muan
university,มหาวิทยาลัย,mahawitthayalai
enormous,มหาศาล,mahasan
ocean,มหาสมุทร,mahasamut
lemon,มะนาว,manao
tomato,มะเขือเทศ,makhueathet
usually,มักจะ,makcha
IT,มัน,man
it,มัน,man
potato,มันฝรั่ง,manfarang
shiny,มันเงา,manngao
steady,มั่นคง,mankhong
confident,มั่นใจ,manchai
come,มา,ma
very,มาก,mak
massive,มาก,mak
much,มาก,mak
more,มากกว่า,makkwa
most,มากที่สุด,makthisut
numerous,มากมาย,makmai
accompany,มากับ,makap
standard,มาตรฐาน,matthan
section,มาตรา,matra
arrive,มาถึง,mathueng
magic,มายากล,mayakon
smartphone,มาร์ทโฟน,matfafon
ago,มาแล้ว,malaeo
otherwise,มิฉะนั้น,michanan
friendship,มิตรภาพ,mitphap
June,มิถุนายน,mithunayon
have,มี,mi
possess,มี,mi
have to modal,มีการกิริยา,mikankiriya
talented,มีความสามารถ,mikhwamsamat
happy,มีความสุข,mikhwamsuk
valuable,มีคุณค่า,mikhunkha
qualify,มีคุณสมบัติ,mikhunsombat
qualified,มีคุณสมบัติ,mikhunsombat
alive,มีชีวิตอยู่,michiwityu
famous,มีชื่อเสียง,michuesiang
knife,มีด,mit
March,มีนาคม,minakhom
effectively,มีประสิทธิภาพ,miprasitthiphap
effective,มีประสิทธิภาพ,miprasitthiphap
useful,มีประโยชน์,miprayot
affect,มีผลต่อ,miphonto
conscious,มีสติอยู่,misatiyu
coloured,มีสี,misi
alcoholic,มีส่วนผสมของแอลกอฮอล์,misuanphasomkhong-aekkaho
participate,มีส่วนร่วม,misuanruam
aged,มีอายุ,mi-ayu
powerful,มีอำนาจ,mi-amnat
influence,มีอิทธิพล,mi-itthiphon
stable,มีเสถียรภาพ,misathianphap
attractive,มีเสน่ห์,misene
reasonable,มีเหตุผล,mihetphon
tend,มีแนวโน้ม,minaeonom
dark,มืด,muet
hand,มือ,mue
professional,มืออาชีพ,mue-achip
angle,มุม,mum
corner,มุม,mum
perspective,มุมมอง,mummong
determined,มุ่งมั่น,mungman
spiritual,มโนมัย,manomai
fascinating,มโนหร,manohon
curtain,ม่าน,man
roll,ม้วน,muan
horse,ม้า,ma
lift,ยก,yok
raise,ยก,yok
cancel,ยกเลิก,yokloek
dismiss,ยกเลิก,yokloek
except,ยกเว้น,yokwen
forgive,ยกโทษให้,yokthothai
rank,ยศ,yot
excellent,ยอดเยี่ยม,yotyiam
wonderful,ยอดเยี่ยม,yotyiam
admit,ยอมรับ,yomrap
accept,ยอมรับ,yomrap
acceptable,ยอมรับได้,yomrapdai
giant,ยักษ์,yak
yet,ยัง,yang
remain,ยังคง,yangkhong
still,ยังคง,yangkhong
lean,ยัน,yan
medicine,ยา,ya
drug,ยา,ya
hard,ยาก,yak
difficult,ยาก,yak
tough,ยาก,yak
rubber,ยาง,yang
tyre,ยาง,yang
poison,ยาพิษ,yaphit
guard,ยาม,yam
grandmother,ยาย,yai
long,ยาว,yao
shoot,ยิง,ying
delighted,ยินดี,yindi
pleased,ยินดี,yindi
welcome,ยินดีต้อนรับ,yinditonrap
gym,ยิม,yim
great,ยิ่งใหญ่,yingyai
grand,ยิ่งใหญ่,yingyai
twenty,ยี่สิบ,yisip
brand,ยี่ห้อ,yiho
fasten,ยึด,yuet
stretch,ยืด,yuet
stand,ยืน,yuen
confirm,ยืนยัน,yuenyan
insist,ยืนยัน,yuenyan
lend,ยืม,yuem
borrow,ยืม,yuem
euro,ยูโร,yuro
paragraph,ย่อหน้า,yona
neighbourhood,ย่าน,yan
quarter,ย่าน,yan
backwards,ย้อนกลับ,yonklap
move,ย้าย,yai
campaign,รณรงค์,ranarong
bicycle,รถจักรยาน,rotchakrayan
motorcycle,รถจักรยานยนต์,rotchakrayanyon
van,รถตู้,rottu
lorry,รถบรรทุก,rotbanthuk
truck,รถบรรทุก,rotbanthuk
bus,รถบัส,rotbat
car,รถยนต์,rothon
taxi,รถแท็กซี่,rotthaeksi
train,รถไฟ,rotfai
annoy,รบกวน,ropkuan
rapid,รวดเร็ว,ruatreo
quick,รวดเร็ว,ruatreo
fast,รวดเร็ว,ruatreo
gather,รวบรวม,ruapruam
total,รวม,ruam
sum,รวม,ruam
combine,รวมกัน,ruamkan
involve,รวมถึง,ruamthueng
including,รวมทั้ง,ruamthang
rich,รวย,ruai
spicy,รสจัด,rotchat
code,รหัส,rahat
wait,รอ,ro
secondary,รอง,rong
shoe,รองเท้า,rongthao
boot,รองเท้า,rongthao
around,รอบ,rop
round,รอบ,rop
carefully,รอบคอบ,ropkhop
surround,รอบทิศทาง,ropthitthang
smile,รอยยิ้ม,roiyim
degree,ระดับ,radap
senior,ระดับอาวุโส,radap-awuso
system,ระบบ,rabop
careful,ระมัดระวัง,ramatrawang
phase,ระยะ,raya
distance,ระยะทาง,rayathang
long-term,ระยะยาว,rayayao
period,ระยะเวลา,rayawela
between,ระหว่าง,rawang
international,ระหว่างประเทศ,rawangprathet
explode,ระเบิด,raboet
blow,ระเบิด,raboet
regulation,ระเบียบข้อบังคับ,rabiapkhobangkhap
agenda,ระเบียบวาระการประชุม,rabiapwarakanprachum
love,รัก,rak
rugby,รักบี้,rakbi
cure,รักษา,raksa
treat,รักษา,raksa
retain,รักษา,raksa
elect,รักษาการ,raksakan
government,รัฐบาล,ratthaban
minister,รัฐมนตรี,ratthamontri
parliament,รัฐสภา,ratthasapha
receive,รับ,rap
acknowledge,รับทราบ,rapsap
guarantee,รับประกัน,rapprakan
responsible,รับผิดชอบ,rapphitchop
recognize,รับรู้,rapru
fence,รั้ว,rua
root,ราก,rak
basis,รากฐาน,rakthan
price,ราคา,rakha
cost,ราคา,rakha
prize,รางวัล,rangwan
reward,รางวัล,rangwan
