Eng,Th
spoken,พูด
spoon,ช้อน
spot,จุด
spring,ฤดูใบไม้ผลิ
stable,มีเสถียรภาพ
staff,บุคลากร
stair,บันได
stand,ยืน
star,ดาว
start,เริ่มต้น
statement,คำให้การ
statistic,สถิติ
status,สถานะ
steady,มั่นคง
steel,เหล็ก
step,ขั้นตอน
stick (piece of wood),ติด (ชิ้นส่วนของไม้)
stiff,แข็ง
stock,คลังสินค้า
stone,หิน
store,เก็บ
story,เรื่องราว
strange,แปลก
strategy,กลยุทธ์
street,ถนน
stress,ความตึงเครียด
strict,เข้มงวด
string,เชือก
strongly,เสถียร
struggle,การต่อสู้
studio,สตูดิโอ
stuff,สิ่ง
style,สไตล์
submit,เสนอ
succeed,ประสบความสำเร็จ
successful,ที่ประสบความสำเร็จ
such,อย่างเช่น
suddenly,ทันใดนั้น
sugar,น้ำตาล
suggestion,ข้อเสนอแนะ
suitable,เหมาะสม
summarize,สรุป
summer,ฤดูร้อน
Sunday,วันอาทิตย์
supply,จัดหา
supporter,ผู้สนับสนุน
sure,แน่ใจ
surface,พื้นผิว
surprise,แปลกใจ
surprising,น่าแปลกใจ
surrounding,ที่ล้อมรอบ
survive,อยู่รอด
swear,สาบาน
sweep,กวาด
swim,การว่ายน้ำ
switch,สวิตซ์
sympathy,ความเห็นอกเห็นใจ
system,ระบบ
tablet,แท็บเล็ต
take,เอา
talent,ความสามารถพิเศษ
talk,การพูดคุย
tank,ถัง
target,เป้า
taste,ลิ้มรส
taxi,รถแท็กซี่
teach,สอน
teaching,การสอน
tear1,tear1
technical,วิชาการ
technology,เทคโนโลยี
teenager,วัยโจ๋
television,โทรทัศน์
temperature,อุณหภูมิ
ten,สิบ
tennis,เทนนิส
term,วาระ
test,ทดสอบ
than,กว่า
thanks,ขอบคุณ
the,
their,ของพวกเขา
them,พวกเขา
themselves,ตัวเอง
theory,ทฤษฎี
there,ที่นั่น
they,พวกเขา
thief,ขโมย
thing,สิ่ง
thinking,ความคิด
thirsty,กระหายน้ำ
thirty,สามสิบ
though,แม้
thousand,พัน
threaten,ขู่
throat,ลำคอ
throughout,ตลอด
Thursday,วันพฤหัสบดี
ticket,ตั๋ว
tie,ผูก
till,จนถึง
tin,ดีบุก
tip,ปลาย
title,หัวข้อ
today,ในวันนี้
together,ด้วยกัน
tomato,มะเขือเทศ
tone,โทน
tonight,คืนนี้
tool,เครื่องมือ
top,ด้านบน
total,รวม
touch,สัมผัส
tour,การท่องเที่ยว
tourist,นักท่องเที่ยว
towel,ผ้าขนหนู
town,ตัวเมือง
track,ติดตาม
tradition,ประเพณี
traffic,การจราจร
trainer,ผู้ฝึกสอน
transfer,โอน
transition,การเปลี่ยนแปลง
translation,การแปล
travel,การท่องเที่ยว
treat,รักษา
tree,ต้นไม้
trial,การทดลอง
trip,การเดินทาง
trouble,ปัญหา
truck,รถบรรทุก
truly,อย่างแท้จริง
truth,ความจริง
T-shirt,เสื้อยืดคอกลม
Tuesday,วันอังคาร
tunnel,อุโมงค์
TV,โทรทัศน์
twenty,ยี่สิบ
twin,คู่
type,ชนิด
typically,เป็นปกติ
ugly,น่าเกลียด
umbrella,ร่ม
uncle,ลุง
unconscious,ไม่ได้สติ
underground,ใต้ดิน
understanding,ความเข้าใจ
unemployed,ว่างงาน
unexpected,ไม่คาดฝัน
unfortunately,น่าเสียดาย
uniform,เหมือนกัน
unique,เป็นเอกลักษณ์
united,ปึกแผ่น
university,มหาวิทยาลัย
unless,เว้นแต่
unlikely,ไม่แน่
unpleasant,ไม่เป็นที่พอใจ
unusual,ผิดปกติ
update,ปรับปรุง
upper,บน
upstairs,ชั้นบน
urban,ในเมือง
us,เรา
used,ใช้
useful,มีประโยชน์
usual,ตามปกติ
vacation,วันหยุด
valuable,มีคุณค่า
van,รถตู้
various,ต่างๆ
vast,กว้างใหญ่
vehicle,พาหนะ
version,รุ่น
via,ผ่านทาง
victory,ชัยชนะ
view,ดู
village,หมู่บ้าน
violent,รุนแรง
virus,ไวรัส
visit,เยือน
visual,ภาพ
vitamin,วิตามิน
volume,ปริมาณ
vote,โหวต
wait,รอ
wake,ปลุก
wall,ผนัง
war,สงคราม
warn,เตือน
wash,ล้าง
waste,ของเสีย
water,น้ำ
way,ทาง
weak,อ่อนแอ
wealth,ความมั่งคั่ง
weapon,อาวุธ
weather,สภาพอากาศ
website,เว็บไซต์
Wednesday,วันพุธ
weekend,สุดสัปดาห์
weight,น้ำหนัก
well,ดี
western,ตะวันตก
what,อะไร
wheel,ล้อ
whenever,เมื่อไรก็ตาม
whereas,แต่ทว่า
whether,ว่า
while,ในขณะที่
white,ขาว
whole,ทั้งหมด
whose,ใคร
wide,กว้าง
wife,ภรรยา
wildlife,ธรรมชาติ
willing,เต็มใจ
wind1,wind1
window,หน้าต่าง
wing,ปีก
winter,ฤดูหนาว
wise,ฉลาด
with,กับ
without,ไม่มี
woman,หญิง
wonderful,ยอดเยี่ยม
wooden,ทำด้วยไม้
word,คำ
worker,ผู้ปฏิบัติงาน
world,โลก
worried,กังวล
worse,แย่ลง
worth,คุ้มค่า
wound,บาดแผล
wrap,ห่อ
writer,นักเขียน
written,เขียน
yard,ลาน
year,ปี
yes,ใช่
yet,ยัง
young,หนุ่มสาว
yours,ของคุณ
youth,หนุ่ม
zone,โซน
abandon,ละทิ้ง
able,สามารถ
above,ข้างบน
absolute,แน่นอน
academic,วิชาการ
acceptable,ยอมรับได้
accident,อุบัติเหตุ
accompany,มากับ
account,บัญชีผู้ใช้
accuse,กล่าวโทษ
achievement,ความสำเร็จ
acquire,ซื้อ
act,ทำหน้าที่
active,คล่องแคล่ว
actor,นักแสดงชาย
actual,ที่จริง
ad,การโฆษณา
add,เพิ่ม
additional,เพิ่มเติม
administration,การบริหาร
admit,ยอมรับ
adult,ผู้ใหญ่
Advanced,สูง
Adventure,การผจญภัย
Advertisement,การโฆษณา
Advice,คำแนะนำ
affect,มีผลต่อ
afraid,เกรงกลัว
afternoon,ตอนบ่าย
again,อีกครั้ง
age,อายุ
agency,หน่วยงาน
agent,ตัวแทน
ago,มาแล้ว
agreement,ข้อตกลง
ahead,ล่วงหน้า
aim,จุดมุ่งหมาย
aircraft,อากาศยาน
airport,สนามบิน
album,อัลบั้ม
alcoholic,มีส่วนผสมของแอลกอฮอล์
all,ทั้งหมด
allow,อนุญาต
alone,คนเดียว
already,แล้ว
alter,แก้ไข
although,แม้ว่า
amazed,ประหลาดใจ
ambition,ความทะเยอทะยาน
among,ในหมู่
analyse,วิเคราะห์
ancient,โบราณ
anger,ความโกรธ
angry,โกรธ
ankle,ข้อเท้า
announce,ประกาศ
annoy,รบกวน
annoying,น่ารำคาญ
another,อื่น
anxious,กระวนกระวาย
anybody,ใคร ๆ
anyone,ใคร ๆ
anyway,อย่างไรก็ตาม
apart,ต่างหาก
apologize,ขอโทษ
apparent,เห็นได้ชัด
appeal,อุทธรณ์
appearance,การปรากฏ
application,ใบสมัคร
appointment,การแต่งตั้ง
approach,เข้าใกล้
approval,การอนุมัติ
approximately,ประมาณ
architect,สถาปนิก
area,พื้นที่
argument,การโต้เถียง
arm,แขน
arms,อาวุธ
around,รอบ
arrangement,การจัดการ
arrival,การมาถึง
art,ศิลปะ
artificial,เทียม
artistic,ศิลปะ
ashamed,ละอายใจ
ask,ถาม
assess,ประเมินผล
assignment,การมอบหมาย
assistant,ผู้ช่วย
associated,ที่เกี่ยวข้อง
assume,สมมติ
athlete,นักกีฬา
attach,แนบ
attempt,พยายาม
attention,ความสนใจ
attract,ดึงดูดใจ
attractive,มีเสน่ห์
August,สิงหาคม
author,ผู้เขียน
autumn,ฤดูใบไม้ร่วง
average,เฉลี่ย
award,รางวัล
away,ไป
baby,ทารก
background,พื้นหลัง
bacteria,แบคทีเรีย
badly,ไม่ดี
bake,อบ
ball,ลูกบอล
banana,กล้วย
bank (money),ธนาคาร (เงิน)
bar,บาร์
base,ฐาน
based,ซึ่งเป็นรากฐาน
basic,ขั้นพื้นฐาน
basis,รากฐาน
bathroom,ห้องอาบน้ำ
battle,การต่อสู้
beach,ชายหาด
bear (deal with),หมี (ข้อตกลงกับ)
beat,ตี
beauty,ความงาม
become,กลายเป็น
bedroom,ห้องนอน
beef,เนื้อวัว
before,ก่อน
begin,เริ่ม
behave,ประพฤติ
behind,หลัง
belief,ความเชื่อ
bell,กระดิ่ง
below,ด้านล่าง
bend,โค้ง
bent,ก้ม
bet,เดิมพัน
between,ระหว่าง
bicycle,รถจักรยาน
bike,จักรยาน
billion number,พันล้านหมายเลข
biology,ชีววิทยา
birth,กำเนิด
biscuit,สีน้ำตาลอ่อน
bite,กัด
black,สีดำ
blank,ว่างเปล่า
block,บล็อก
blonde,สีบลอนด์
blow,ระเบิด
board,คณะกรรมการ
body,ร่างกาย
bomb,วางระเบิด
bone,กระดูก
boot,รองเท้า
bored,เบื่อ
born,เกิด
boss,นาย
bother,ตื๊อ
bottom,ด้านล่าง
box,กล่อง
boyfriend,แฟน
branch,สาขา
brave,กล้าหาญ
break,หยุดพัก
breast,เต้านม
breathe,หายใจ
bride,เจ้าสาว
brief,สั้น
brilliant,สุกใส
broad,กว้าง
broken,เสีย
brown,สีน้ำตาล
bubble,ฟอง
build,สร้าง
bullet,กระสุน
burn,เผา
bus,รถบัส
business,ธุรกิจ
busy,ไม่ว่าง
butter,เนย
buy,ซื้อ
bye,บาย
cafe,คาเฟ่
calculate,คำนวณ
calm,เงียบสงบ
camp,ค่าย
camping,แคมป์ปิ้ง
can1,can1
cancel,ยกเลิก
candidate,ผู้สมัคร
cap,ฝาครอบ
capacity,ความจุ
captain,กัปตัน
car,รถยนต์
care,การดูแล
careful,ระมัดระวัง
careless,ประมาท
carrot,แครอท
cartoon,การ์ตูน
cash,เงินสด
castle,ปราสาท
catch,จับ
cause,สาเหตุ
ceiling,เพดาน
celebration,งานเฉลิมฉลอง
cell,เซลล์
central,ศูนย์กลาง
century,ศตวรรษ
certain,แน่นอน
chain,เชื่อมต่อ
chairman,ประธาน
champion,แชมป์
change,เปลี่ยนแปลง
chapter,บท
characteristic,ลักษณะเฉพาะ
charity,การกุศล
chat,พูดคุย
cheat,โกง
chef,พ่อครัว
cheese,ชีส
chemistry,เคมี
chicken,ไก่
child,เด็ก
chip,ชิป
choice,ทางเลือก
church,โบสถ์
cinema,โรงภาพยนตร์
circumstance,สถานการณ์
citizen,พลเมือง
civil,พลเรือน
class,ชั้น
classical,คลาสสิก
clause,ประโยค
clear,ชัดเจน
clever,ฉลาด
client,ลูกค้า
climb,ปีนขึ้นไป
close1,close1
closed,ปิด
cloth,ผ้า
clothing,เสื้อผ้า
club,สโมสร
coach,โค้ช
coast,ชายฝั่ง
code,รหัส
coin,เหรียญ
collapse,ล่มสลาย
collect,เก็บ
college,วิทยาลัย
coloured,มีสี
combination,การรวมกัน
come,มา
comfort,ความสบายใจ
command,คำสั่ง
commercial,เชิงพาณิชย์
commit,ผูกมัด
committee,กรรมการ
commonly,อย่างธรรมดา
communication,การสื่อสาร
company,บริษัท
comparison,การเปรียบเทียบ
competition,การแข่งขัน
competitive,การแข่งขัน
complaint,การร้องเรียน
completely,อย่างสมบูรณ์
complicated,ซับซ้อน
computer,คอมพิวเตอร์
concentration,สมาธิ
concern,กังวล
concert,คอนเสิร์ต
conclusion,ข้อสรุป
conduct,ความประพฤติ
confidence,ความมั่นใจ
confirm,ยืนยัน
confuse,สับสน
confusing,ทำให้เกิดความสับสน
connected,เกี่ยวข้อง
conscious,มีสติอยู่
conservative,อนุรักษนิยม
consideration,การพิจารณา
consistent,คงเส้นคงวา
constantly,อย่างสม่ำเสมอ
construction,การก่อสร้าง
consumer,ผู้บริโภค
contain,บรรจุ
contemporary,ร่วมสมัย
contest,การประกวด
continent,ทวีป
continuous,ต่อเนื่องกัน
contrast,ความคมชัด
contribution,การสนับสนุน
convenient,สะดวกสบาย
convert,แปลง
convinced,เชื่อว่า
cooker,เตา
cool,เย็น
core,แกน
corporate,องค์กร
correctly,ได้อย่างถูกต้อง
costume,ชุดแต่งกาย
cotton,ฝ้าย
council,สภา
country,ประเทศ
county,เขต
courage,ความกล้าหาญ
court,ศาล
cover,ปก
cow,วัว
crazy,บ้า
create,สร้าง
creative,ความคิดสร้างสรรค์
credit,เครดิต
crime,อาชญากรรม
crisis,วิกฤติ
critic,นักวิจารณ์
criticism,คำวิจารณ์
crop,พืชผล
crowd,ฝูงชน
crucial,สำคัญมาก
cry,ร้องไห้
culture,วัฒนธรรม
cupboard,ตู้
curly,หยิก
current,ปัจจุบัน
curtain,ม่าน
curved,โค้ง
customer,ลูกค้า
cycle,วงจร
daily,ประจำวัน
dance,เต้นรำ
dancing,การเต้นรำ
dangerous,เป็นอันตราย
data,ข้อมูล
daughter,ลูกสาว
dead,ตาย
dear,ที่รัก
debate,อภิปราย
decade,ทศวรรษ
decent,เหมาะสม
decision,การตัดสิน
decline,ลดลง
decoration,เครื่องประดับ
deep,ลึก
defeat,ความพ่ายแพ้
defend,ป้องกัน
definite,ชัดเจน
definition,คำนิยาม
delay,ความล่าช้า
deliberately,จงใจ
delight,สุข
deliver,ส่งมอบ
demand,ความต้องการ
dentist,ทันตแพทย์
department,สาขา
depend,ขึ้นอยู่กับ
depressing,ตกต่ำ
describe,อธิบาย
desert,ทะเลทราย
design,ออกแบบ
desire,ความต้องการ
desperate,หมดหวัง
destination,ปลายทาง
detail,รายละเอียด
detect,ตรวจจับ
determine,กำหนด
develop,พัฒนา
device,เครื่อง
dialogue,บทสนทนา
diary,ไดอารี่
die,ตาย
difference,ข้อแตกต่าง
differently,ต่างกัน
difficulty,ความยาก
digital,ดิจิทัล
direct,โดยตรง
directly,โดยตรง
dirt,ฝุ่น
Dis Adverbantage,Dis Adverbantage
disappear,หายไป
disappointing,ที่น่าผิดหวัง
disc,จาน
discount,ส่วนลด
discovery,การค้นพบ
discussion,อภิปรายผล
dish,จาน
dislike,ไม่ชอบ
display,แสดง
distribute,กระจาย
district,อำเภอ
division,แผนก
do,ทำ
document,เอกสาร
dog,หมา
domestic,ในประเทศ
donate,บริจาค
double,สอง
down,ลง
downstairs,ข้างล่าง
dozen,โหล
drag,ลาก
dramatic,น่าทึ่ง
drawing,การวาดภาพ
dress,แต่งตัว
drink,ดื่ม
driver,คนขับรถ
drop,หล่น
drum,กลอง
dry,แห้ง
during,ในระหว่าง
duty,หน้าที่
each,แต่ละ
early,ตอนต้น
earth,โลก
easily,อย่างง่ายดาย
eastern,ทางตะวันออก
eat,กิน
economy,เศรษฐกิจ
edit,แก้ไข
editor,บรรณาธิการ
educated,การศึกษา
educational,เกี่ยวกับการศึกษา
effective,มีประสิทธิภาพ
efficient,ที่มีประสิทธิภาพ
egg,ไข่
eighteen,สิบแปด
either,ทั้ง
elect,รักษาการ
electric,ไฟฟ้า
electricity,ไฟฟ้า
element,ธาตุ
eleven,สิบเอ็ด
elsewhere,ที่อื่น ๆ
embarrassed,อึดอัดใจ
emerge,ออกมา
emotion,อารมณ์
emphasis,ความสำคัญ
employ,จ้าง
employer,นายจ้าง
empty,ว่างเปล่า
encounter,พบ
end,ปลาย
enemy,ศัตรู
engage,ว่าจ้าง
engine,เครื่องยนต์
engineering,วิศวกรรม
enjoy,สนุก
enough,พอ
ensure,ทำให้มั่นใจ
entertain,ความบันเทิง
enthusiasm,ความกระตือรือร้น
entire,ทั้งหมด
entrance,ทางเข้า
environment,สิ่งแวดล้อม
episode,ตอน
equally,พอ ๆ กัน
error,ความผิดพลาด
especially,โดยเฉพาะอย่างยิ่ง
essential,สำคัญ
estate,ที่ดิน
ethical,ตามหลักจริยธรรม
evaluate,ประเมินผล
evening,ตอนเย็น
eventually,ในที่สุด
every,ทุกๆ
everyday,ทุกวัน
everything,ทุกอย่าง
evidence,หลักฐาน
exact,แน่นอน
exam,การสอบ
examine,ตรวจสอบ
excellent,ยอดเยี่ยม
exchange,แลกเปลี่ยน
excitement,ความตื่นเต้น
excuse,ขอโทษ
exercise,การออกกำลังกาย
exist,ที่มีอยู่
expand,ขยายตัว
expectation,ความคาดหวัง
expedition,การเดินทาง
expensive,เเพง
experienced,ที่มีประสบการณ์
expert,ผู้เชี่ยวชาญ
explanation,คำอธิบาย
exploration,การสำรวจ
explosion,การระเบิด
expose,เปิดเผย
expression,การแสดงออก
extent,ขอบเขต
extra,พิเศษ
extreme,สุดขีด
eye,ตา
facility,สิ่งอำนวยความสะดวก
factor,ปัจจัย
fail,ล้มเหลว
fair,ธรรม
faith,ความเชื่อ
FALSE,FALSE
family,ครอบครัว
fan,แฟน
fantastic,น่าอัศจรรย์
farm,ฟาร์ม
farming,การทำฟาร์ม
fashion,แฟชั่น
fast,รวดเร็ว
fat,อ้วน
fault,ความผิด
favourite,ที่ชื่นชอบ
feather,ขน
February,กุมภาพันธ์
feed,อาหาร
feel,รู้สึก
fellow,มนุษย์
fence,รั้ว
few,น้อย
field,สนาม
fifth,ที่ห้า
fight,สู้
figure,รูป
fill,เติม
final,สุดท้าย
finance,การเงิน
find,หา
fine,ละเอียด
finish,เสร็จสิ้น
firm,บริษัท
firstly,ประการแรก
fishing,ประมง
fitness,การออกกำลังกาย
fix,แก้ไข
flag,ธง
flash,แฟลช
flexible,คล่องตัว
float,ลอย
floor,ชั้น
flow,ไหล
flu,ไข้หวัดใหญ่
flying,การบิน
fold,พับ
folk,พื้นบ้าน
following,ดังต่อไปนี้
foot,เท้า
for,สำหรับ
foreign,ต่างประเทศ
forever,ตลอดไป
forgive,ยกโทษให้
form,แบบฟอร์ม
former,อดีต
fortune,โชคลาภ
forward,ข้างหน้า
four,สี่
fourth,ที่สี่
free,ฟรี
freeze,แข็ง
frequently,บ่อยๆ
Friday,วันศุกร์
friend,เพื่อน
friendship,มิตรภาพ
frightened,กลัว
frog,กบ
front,ด้านหน้า
fruit,ผลไม้
fuel,เชื้อเพลิง
fully,อย่างเต็มที่
function,ฟังก์ชัน
fundamental,พื้นฐาน
funny,ตลก
furniture,เฟอร์นิเจอร์
furthermore,นอกจากนี้
gain,ได้รับ
game,เกม
gap,ช่องว่าง
garden,สวน
gate,ประตู
general,ทั่วไป
generate,สร้าง
generous,ใจกว้าง
gentle,อ่อนโยน
geography,ภูมิศาสตร์
ghost,ผี
gift,ของขวัญ
girlfriend,แฟน
glad,ดีใจ
global,ทั่วโลก
go,ไป
God,พระเจ้า
golf,กอล์ฟ
goodbye,ลาก่อน
govern,ปกครอง
grab,คว้า
gradually,ค่อยๆ
grain,เมล็ดข้าว
grandfather,คุณปู่
grandparent,ปู่ย่าตายาย
grass,หญ้า
great,ยิ่งใหญ่
greet,ทักทาย
ground,พื้น
grow,เจริญ
guarantee,รับประกัน
guess,เดา
guide,คู่มือ
guitar,กีตาร์
guy,ผู้ชาย
habit,นิสัย
half,ครึ่ง
hand,มือ
hang,แขวน
happily,เป็นสุข
happy,มีความสุข
hardly,แทบจะไม่
harmful,เป็นอันตราย
hate,เกลียด
have to modal,มีการกิริยา
head,ศีรษะ
headline,พาดหัว
healthy,แข็งแรง
hearing,การได้ยิน
heat,ความร้อน
heaven,สวรรค์
heavy,หนัก
height,ความสูง
hell,นรก
help,ช่วยด้วย
her,เธอ
hero,พระเอก
herself,ตัวเธอเอง
hey,เฮ้
hide,ซ่อน
highlight,ไฮไลท์
hill,เนินเขา
himself,ตัวเขาเอง
his,ของเขา
historical,ประวัติศาสตร์
hit,ตี
hockey,ฮอกกี้
hole,รู
hollow,กลวง
home,บ้าน
honest,ซื่อสัตย์
hope,ความหวัง
horror,ความน่ากลัว
hospital,โรงพยาบาล
hot,ร้อน
hour,ชั่วโมง
household,ครัวเรือน
how,อย่างไร
huge,ใหญ่
humorous,ตลก
hundred,ร้อย
hunt,ล่า
hurricane,พายุเฮอริเคน
hurt,เจ็บ
I,ผม
ice cream,ไอศครีม
ideal,ในอุดมคติ
identity,เอกลักษณ์
ignore,ไม่สนใจ
illegal,ที่ผิดกฎหมาย
illustrate,แสดง
image,ภาพ
imagination,จินตนาการ
immediate,ทันทีทันใด
immigrant,ผู้อพยพ
impatient,ใจร้อน
import,นำเข้า
important,สำคัญ
impossible,เป็นไปไม่ได้
impressed,ประทับใจ
impressive,ประทับใจ
improvement,การปรับปรุง
inch,นิ้ว
include,ประกอบด้วย
including,รวมทั้ง
increase,เพิ่มขึ้น
incredible,เหลือเชื่อ
indeed,จริง
indicate,แสดง
individual,รายบุคคล
indoors,ในบ้าน
industry,อุตสาหกรรม
influence,มีอิทธิพล
informal,ไม่เป็นทางการ
ingredient,ส่วนผสม
initially,ในขั้นต้น
injure,ได้รับบาดเจ็บ
injury,ความเสียหาย
innocent,ผู้บริสุทธิ์
inside,ภายใน
insist,ยืนยัน
install,ติดตั้ง
instead,แทน
institution,สถาบัน
instructor,อาจารย์ผู้สอน
insurance,ประกันภัย
intelligent,ฉลาด
intended,ตั้งใจว่า
intention,ความตั้งใจ
interested,สนใจ
internal,ภายใน
internet,อินเทอร์เน็ต
interrupt,ขัดจังหวะ
into,เข้าไป
introduction,บทนำ
invention,การประดิษฐ์
investigate,สอบสวน
investment,การลงทุน
invite,เชิญ
involved,ที่เกี่ยวข้อง
island,เกาะ
IT,มัน
item,สิ่งของ
itself,ตัวเอง
jam,แยม
jazz,แจ๊ส
jewellery,เครื่องเพชรพลอย
join,ร่วม
journal,วารสาร
journey,การเดินทาง
judge,ผู้พิพากษา
juice,น้ำผลไม้
jump,กระโดด
junior,อนุ
justice,ความยุติธรรม
keen,กระตือรือร้น
key,สำคัญ
kick,เตะ
kill,ฆ่า
kilometre,กิโลเมตร
kind(caring),ชนิด (ดูแล)
kiss,จูบ
knee,เข่า
knock,เคาะ
knowledge,ความรู้
label,ฉลาก
labour,แรงงาน
lady,ผู้หญิง
lamp,โคมไฟ
landscape,ภูมิประเทศ
laptop,แล็ปท็อป
largely,ส่วนใหญ่
last1 (taking time),last1 (สละเวลา)
later,ต่อมา
laugh,หัวเราะ
launch,เปิด
lawyer,ทนายความ
layer,ชั้น
lead,ตะกั่ว
leadership,ความเป็นผู้นำ
leaf,ใบไม้
lean,ยัน
learning,การเรียนรู้
leather,หนังสัตว์
lecture,คำบรรยาย
leg,ขา
leisure,ที่เดินทางมาพักผ่อน
lend,ยืม
less,น้อยกว่า
let,ปล่อย
level,ชั้น
licence,อนุญาต
lie,โกหก
lifestyle,วิถีการดำเนินชีวิต
light (from the sun/a lamp),แสง (จากดวงอาทิตย์ / หลอดไฟ)
like (similar),เหมือน (คล้าย)
Noun,คำนาม
limit,จำกัด
line,ไลน์
lion,สิงโต
liquid,ของเหลว
listen,ฟัง
literature,วรรณกรรม
live1,live1
lively,สดใส
load,ภาระ
local,ในประเทศ
located,ที่ตั้งอยู่
lock,ล็อค
lonely,โดดเดี่ยว
long-term,ระยะยาว
loose,หลวม
lorry,รถบรรทุก
loss,การสูญเสีย
lot,จำนวนมาก
loudly,ลั่น
lovely,น่ารัก
lower,ลดลง
lucky,โชคดี
lung,ปอด
machine,เครื่อง
magazine,นิตยสาร
mail,อีเมล
mainly,ส่วนใหญ่
major,สำคัญ
make,แต่งหน้า
mall,ห้างสรรพสินค้า
manage,จัดการ
manager,ผู้จัดการ
many,จำนวนมาก
March,มีนาคม
market,ตลาด
marriage,การแต่งงาน
marry,แต่งงาน
massive,มาก
match (contest/correspond),การแข่งขัน (การประกวด / ตรง)
material,วัสดุ
maths,เลข
maximum,ขีดสุด
may modal,อาจเป็นกิริยาช่วย
me,ผม
mean,ค่าเฉลี่ย
means,วิธี
measure,วัด
meat,เนื้อ
medical,ทางการแพทย์
medium,กลาง
meeting,ประชุม
member,สมาชิก
mental,ทางใจ
menu,เมนู
message,ข่าวสาร
method,วิธี
middle,กลาง
might modal,อาจเป็นกิริยาช่วย
mile,ไมล์
milk,นม
mind,ใจ
mine (hole in the ground),การเหมืองแร่ (หลุมในดิน)
minimum,ขั้นต่ำ
minor,ผู้เยาว์
minute,นาที
miss,นางสาว
mission,หน้าที่
mix,ผสม
mixture,สารผสม
model,แบบ
modify,ปรับเปลี่ยน
Monday,วันจันทร์
monitor,หน้าจอ
month,เดือน
moon,ดวงจันทร์
more,มากกว่า
most,มากที่สุด
mother,แม่
motorcycle,รถจักรยานยนต์
mountain,ภูเขา
mouth,ปาก
movement,การเคลื่อนไหว
much,มาก
multiple,หลายอย่าง
mum,แม่
muscle,กล้ามเนื้อ
music,เพลง
musician,นักดนตรี
my,ของฉัน
mysterious,ลึกลับ
nail,เล็บ
narrative,การเล่าเรื่อง
nation,ประเทศชาติ
native,พื้นเมือง
naturally,เป็นธรรมชาติ
near,ใกล้
neat,เรียบร้อย
necessary,จำเป็น
need,ความต้องการ
negative,เชิงลบ
neighbourhood,ย่าน
nerve,เส้นประสาท
net,สุทธิ
never,ไม่เคย
new,ใหม่
newspaper,หนังสือพิมพ์
next to,ต่อไป
night,กลางคืน
nine,เก้า
ninety,เก้าสิบ
no one,ไม่มีใคร
noise,สัญญาณรบกวน
none,ไม่มี
normal,ปกติ
north,ทางทิศเหนือ
nose,จมูก
note,บันทึก
notice,แจ้งให้ทราบ
novel,นวนิยาย
now,ตอนนี้
nuclear,นิวเคลียร์
numerous,มากมาย
nut,ถั่ว
object,วัตถุ
obligation,ภาระผูกพัน
observe,สังเกต
obvious,ชัดเจน
occasion,โอกาส
occur,เกิดขึ้น
o’clock,โมง
odd,แปลก
off,ปิด
offend,ขัดใจ
offer,เสนอ
officer,เจ้าหน้าที่
often,บ่อยครั้ง
oil,น้ำมัน
old,เก่า
on,บน
one,หนึ่ง
online,ออนไลน์
onto,ไปยัง
opening,การเปิด
operation,การทำงาน
opponent,คู่แข่ง
oppose,ต่อต้าน
opposite,ตรงข้าม
option,ตัวเลือก
orange,ส้ม
ordinary,สามัญ
organization,องค์กร
organized,จัด
origin,ที่มา
originally,แต่เดิม
otherwise,มิฉะนั้น
our,ของเรา
ourselves,ตัวเรา
outcome,ผล
outdoors,กลางแจ้ง
outline,เค้าโครง
oven,เตาอบ
overall,ทั้งหมด
own,ด้วยตัวเอง
pace,ก้าว
package,บรรจุภัณฑ์
pain,ความเจ็บปวด
paint,สี
painting,จิตรกรรม
palace,พระราชวัง
pan,กระทะ
pants,กางเกง
paragraph,ย่อหน้า
park,สวน
parliament,รัฐสภา
participant,ผู้เข้าร่วม
particular,โดยเฉพาะ
partly,เป็นบางส่วน
party,พรรค
passage,ทางเดิน
passion,แรงผลักดัน
past,อดีต
patient,อดทน
pay,การจ่ายเงิน
peace,ความสงบ
pen,ปากกา
penny,เงิน
people,คน
per,ต่อ
percentage,ร้อยละ
perfectly,อย่างสมบูรณ์
performance,ประสิทธิภาพ
period,ระยะเวลา
permission,การอนุญาต
person,คน
personality,บุคลิกภาพ
perspective,มุมมอง
pet,สัตว์เลี้ยง
phase,ระยะ
philosophy,ปรัชญา
photo,ภาพถ่าย
photographer,ช่างภาพ
phrase,วลี
physics,ฟิสิกส์
pick,เลือก
piece,ชิ้น
pile,กอง
pin,หมุด
pipe,ท่อ
place,สถานที่
plan,วางแผน
planet,ดาวเคราะห์
plant,ปลูก
plate,จาน
play,เล่น
pleasant,น่ารื่นรมย์
pleased,ยินดี
plenty,ความอุดมสมบูรณ์
plus,บวก
poem,บทกวี
poetry,บทกวี
pointed,แหลม
poisonous,เป็นพิษ
policeman,ตร.
polite,สุภาพ
politician,นักการเมือง
pollution,มลพิษ
poor,น่าสงสาร
popular,เป็นที่นิยม
population,ประชากร
portrait,ภาพเหมือน
position,ตำแหน่ง
possess,มี
possibility,ความเป็นไปได้
possibly,อาจ
poster,โปสเตอร์
potato,มันฝรั่ง
pound,ปอนด์
poverty,ความยากจน
power,อำนาจ
practical,ประยุกต์
practise,การปฏิบัติ
pray,อธิษฐาน
predict,ทำนาย
