Eng,Th,Romanized
educational,เกี่ยวกับการศึกษา,kiaokapkansueksa
effect,ผล,phon
effective,มีประสิทธิภาพ,miprasitthiphap
effectively,มีประสิทธิภาพ,miprasitthiphap
efficient,ที่มีประสิทธิภาพ,thimiprasitthiphap
effort,ความพยายาม,khwamphayayam
egg,ไข่,khai
eight,แปด,paet
eighteen,สิบแปด,sippaet
eighty,แปดสิบ,paetsip
either,ทั้ง,thang
elderly,สูงอายุ,sung-ayu
elect,รักษาการ,raksakan
election,การเลือกตั้ง,kanlueaktang
electric,ไฟฟ้า,faifa
electrical,ไฟฟ้า,faifa
electricity,ไฟฟ้า,faifa
electronic,อิเล็กทรอนิกส์,ilekthon-anik
element,ธาตุ,that
elephant,ช้าง,chang
eleven,สิบเอ็ด,sip-et
else,อื่น,uen
elsewhere,ที่อื่น ๆ,thi-uen 1
email,อีเมล,imen
embarrassed,อึดอัดใจ,uet-atchai
embarrassing,น่าอาย,na-ai
emerge,ออกมา,okma
emergency,กรณีฉุกเฉิน,koranichukchoen
emotion,อารมณ์,arom
emotional,อารมณ์,arom
emphasis,ความสำคัญ,khwamsamkhan
emphasize,เน้น,nen
employ,จ้าง,chang
employee,ลูกจ้าง,lukchang
employer,นายจ้าง,naichang
employment,การจ้าง,kanchang
empty,ว่างเปล่า,wangplao
enable,ทำให้สามารถ,thamhaisamat
encounter,พบ,phop
encourage,ส่งเสริม,songsoem
end,ปลาย,plai
ending,สิ้นสุด,sinsut
enemy,ศัตรู,sattru
energy,พลังงาน,phlangngan
engage,ว่าจ้าง,wachang
engaged,หมั้น,man
engine,เครื่องยนต์,khrueangyon
engineer,วิศวกร,witsawakon
engineering,วิศวกรรม,witsawakam
enhance,ทำให้ดีขึ้น,thamhaidikhuen
enjoy,สนุก,sanuk
enormous,มหาศาล,mahasan
enough,พอ,pho
enquiry,การสอบสวน,kansopsuan
ensure,ทำให้มั่นใจ,thammaimanchai
enter,เข้าสู่,khaosu
entertain,ความบันเทิง,khwambanthoeng
entertainment,การบันเทิง,kanbanthoeng
enthusiasm,ความกระตือรือร้น,khwamkratuerueron
enthusiastic,กระตือรือร้น,kratuerueron
entire,ทั้งหมด,thangmot
entirely,อย่างสิ้นเชิง,yangsinchoeng
entrance,ทางเข้า,thangkhao
entry,การเข้า,kankhao
environment,สิ่งแวดล้อม,singwaetlom
environmental,สิ่งแวดล้อม,singwaetlom
episode,ตอน,ton
equal,เท่ากัน,thaokan
equally,พอ ๆ กัน,pho   nakan
equipment,อุปกรณ์,upakon
error,ความผิดพลาด,khwamphitphlat
escape,หนี,ni
especially,โดยเฉพาะอย่างยิ่ง,doichaphoyangying
essay,เรียงความ,riangkhwam
essential,สำคัญ,samkhan
establish,สร้าง,sang
estate,ที่ดิน,thidin
estimate,ประมาณการ,pramankan
ethical,ตามหลักจริยธรรม,tamlakchariyatham
euro,ยูโร,yuro
evaluate,ประเมินผล,pramoenphon
even,แม้,mae
evening,ตอนเย็น,tonyen
event,เหตุการณ์,hetkan
eventually,ในที่สุด,naithisut
ever,เคย,khoei
every,ทุกๆ,thuko
everybody,ทุกคน,thukkhon
everyday,ทุกวัน,thukwan
everyone,ทุกคน,thukkhon
everything,ทุกอย่าง,thukyang
everywhere,ทุกที่,thukthi
evidence,หลักฐาน,lakthan
evil,ชั่วร้าย,chuarai
exact,แน่นอน,naenon
exactly,อย่างแน่นอน,yangnaenon
exam,การสอบ,kansop
examination,การตรวจสอบ,kantruatsop
examine,ตรวจสอบ,truatsop
example,ตัวอย่าง,tuayyang
excellent,ยอดเยี่ยม,yotyiam
except,ยกเว้น,yokwen
exchange,แลกเปลี่ยน,laekplian
excited,ตื่นเต้น,tuenten
excitement,ความตื่นเต้น,khwamtuenten
exciting,น่าตื่นเต้น,natuenten
excuse,ขอโทษ,khothot
executive,ฝ่ายบริหาร,faiborihan
exercise,การออกกำลังกาย,kan-okkamlangkai
exhibition,งานแสดงนิทรรศการ,ngansadaengnithatsakan
exist,ที่มีอยู่,thimiyu
existence,การดำรงอยู่,kandamrongyu
expand,ขยายตัว,khayaitua
expect,คาดหวัง,khatwang
expectation,ความคาดหวัง,khwamkhatwang
expected,ที่คาดหวัง,thikhatwang
expedition,การเดินทาง,kandoenthang
expense,ค่าใช้จ่าย,khachaichai
expensive,เเพง,pheng
experience,ประสบการณ์,prasopkan
experienced,ที่มีประสบการณ์,thimiprasopkan
experiment,การทดลอง,kanthotlong
expert,ผู้เชี่ยวชาญ,phuchiaochan
explain,อธิบาย,athibai
explanation,คำอธิบาย,kham-athibai
explode,ระเบิด,raboet
exploration,การสำรวจ,kansamruat
explore,สำรวจ,samruat
explosion,การระเบิด,kanraboet
export,ส่งออก,song-ok
expose,เปิดเผย,poetphoei
express,ด่วน,duan
expression,การแสดงออก,kansadaeng-ok
extend,ต่ออายุ,to-ayu
extent,ขอบเขต,khopkhet
external,ภายนอก,phainok
extra,พิเศษ,phiset
extraordinary,วิสามัญ,wisaman
extreme,สุดขีด,sutkhit
extremely,อย่างมาก,yangmak
eye,ตา,ta
face,ใบหน้า,baina
facility,สิ่งอำนวยความสะดวก,sing-amnuaikhwamsaduak
fact,ความจริง,khwamching
factor,ปัจจัย,patchai
factory,โรงงาน,rongngan
fail,ล้มเหลว,lomleo
failure,ความล้มเหลว,khwamlomleo
fair,ธรรม,tham
fairly,อย่างเป็นธรรม,yangpentham
faith,ความเชื่อ,khwamchuea
fall,ตก,tok
familiar,คุ้นเคย,khunkhoei
family,ครอบครัว,khropkhrua
famous,มีชื่อเสียง,michuesiang
fan,แฟน,faen
fancy,แฟนซี,faensi
fantastic,น่าอัศจรรย์,na-atchan
far,ห่างไกล,hangklai
farm,ฟาร์ม,fa
farmer,ชาวนา,chaona
farming,การทำฟาร์ม,kanthamfam
fascinating,มโนหร,manohon
fashion,แฟชั่น,faechan
fashionable,ทันสมัย,thansamai
fast,รวดเร็ว,ruatreo
fasten,ยึด,yuet
fat,อ้วน,uan
father,พ่อ,pho
fault,ความผิด,khwamphit
favour,โปรดปราน,protpran
favourite,ที่ชื่นชอบ,thichuenchop
fear,กลัว,klua
feather,ขน,khon
feature,ลักษณะเฉพาะ,laksanachapho
fee,ค่าธรรมเนียม,khathamniam
feed,อาหาร,ahan
feedback,ข้อเสนอแนะ,khosenoenae
feel,รู้สึก,rusuek
feeling,ความรู้สึก,khwamrusuek
fellow,มนุษย์,manut
female,หญิง,ying
fence,รั้ว,rua
festival,งานเทศกาล,nganthetkan
few,น้อย,noi
fiction,เรื่องอ่านเล่น,rueang-anlen
field,สนาม,sanam
fifteen,สิบห้า,sipha
fifth,ที่ห้า,thiha
fifty,ห้าสิบ,hasip
fight,สู้,su
fighting,ศึก,suek
figure,รูป,rup
file,ไฟล์,fai
fill,เติม,toem
film,ฟิล์ม,fi
final,สุดท้าย,sutthai
finally,ในที่สุด,naithisut
finance,การเงิน,kanngoen
financial,การเงิน,kanngoen
find,หา,ha
finding,คำวินิจฉัย,khamwinitchai
fine,ละเอียด,la-iat
finger,นิ้ว,nio
finish,เสร็จสิ้น,setsin
fire,ไฟ,fai
firm,บริษัท,borisat
first,เป็นครั้งแรก,penkhrangraek
firstly,ประการแรก,prakanraek
fish,ปลา,pla
fishing,ประมง,pramong
fit,พอดี,phodi
fitness,การออกกำลังกาย,kan-okkamlangkai
five,ห้า,ha
fix,แก้ไข,kaekhai
fixed,แก้ไขแล้ว,kaekhlaeo
flag,ธง,thong
flame,เปลวไฟ,pleofai
flash,แฟลช,flaet
flat,แบน,baen
flexible,คล่องตัว,khlongtua
flight,เที่ยวบิน,thiaobin
float,ลอย,loi
flood,น้ำท่วม,namthuam
floor,ชั้น,chan
flour,แป้ง,paeng
flow,ไหล,lai
flower,ดอกไม้,dokmai
flu,ไข้หวัดใหญ่,khaiwatyai
fly,บิน,bin
flying,การบิน,kanbin
focus,โฟกัส,fokat
fold,พับ,phap
folding,พับได้,phapdai
folk,พื้นบ้าน,phuenban
follow,ปฏิบัติตาม,patibattam
following,ดังต่อไปนี้,dangtopaini
food,อาหาร,ahan
foot,เท้า,thao
football,ฟุตบอล,futbon
for,สำหรับ,samrap
force,บังคับ,bangkhap
foreign,ต่างประเทศ,tangprathet
forest,ป่า,pa
forever,ตลอดไป,talotpai
forget,ลืม,luem
forgive,ยกโทษให้,yokthothai
fork,ส้อม,som
form,แบบฟอร์ม,baepfom
formal,เป็นทางการ,penthangkan
former,อดีต,adit
fortunately,โชคดี,chokdi
fortune,โชคลาภ,choklap
forty,สี่สิบ,sisip
forward,ข้างหน้า,khangna
found,พบ,phop
four,สี่,si
fourteen,สิบสี่,sipsi
fourth,ที่สี่,thisi
frame,กรอบ,krop
free,ฟรี,fri
freedom,เสรีภาพ,seriphap
freeze,แข็ง,khaeng
frequency,ความถี่,khwamthi
frequently,บ่อยๆ,boyo
fresh,สด,sot
fridge,ตู้เย็น,tuyen
friend,เพื่อน,phuean
friendly,เป็นมิตร,penmit
friendship,มิตรภาพ,mitphap
frighten,ขู่,khu
frightened,กลัว,klua
frightening,น่ากลัว,naklua
frog,กบ,kop
from,จาก,chak
front,ด้านหน้า,danna
frozen,แช่แข็ง,chaekhaeng
fruit,ผลไม้,phonmai
fry,ทอด,thot
fuel,เชื้อเพลิง,chueaphloeng
full,เต็ม,tem
fully,อย่างเต็มที่,yangtemthi
fun,สนุก,sanuk
function,ฟังก์ชัน,fangchan
fund,กองทุน,kongthun
fundamental,พื้นฐาน,phuenthan
funding,การระดมทุน,kanradomthun
funny,ตลก,talok
fur,ขน,khon
furniture,เฟอร์นิเจอร์,foenichoe
further,ต่อไป,topai
furthermore,นอกจากนี้,nokchakni
future,อนาคต,anakhot
gain,ได้รับ,dairap
gallery,เฉลียง,chaliang
game,เกม,kem
gang,แก๊ง,kaeng
gap,ช่องว่าง,chongwang
garage,โรงรถ,rongrot
garden,สวน,suan
gas,แก๊ส,kaet
gate,ประตู,pratu
gather,รวบรวม,ruapruam
general,ทั่วไป,thuapai
generally,โดยทั่วไป,doithuapai
generate,สร้าง,sang
generation,รุ่น,run
generous,ใจกว้าง,chaikwang
genre,ประเภท,praphet
gentle,อ่อนโยน,onyon
gentleman,สุภาพบุรุษ,suphapburut
geography,ภูมิศาสตร์,phumsat
get,ได้รับ,dairap
ghost,ผี,phi
giant,ยักษ์,yak
gift,ของขวัญ,khongkhwan
girl,สาว,sao
girlfriend,แฟน,faen
give,ให้,hai
glad,ดีใจ,dichai
glass,กระจก,krachok
global,ทั่วโลก,thualok
glove,ถุงมือ,thungmue
go,ไป,pai
goal,เป้าหมาย,paomai
gold,ทอง,thong
golf,กอล์ฟ,ko
good,ดี,di
goodbye,ลาก่อน,lakon
goods,สินค้า,sinkha
govern,ปกครอง,pokkhrong
government,รัฐบาล,ratthaban
grab,คว้า,khwa
grade,เกรด,kret
gradually,ค่อยๆ,khoyo
graduate,จบการศึกษา,chopkansueksa
grain,เมล็ดข้าว,meletkhao
grand,ยิ่งใหญ่,yingyai
grandfather,คุณปู่,khunpu
grandmother,ยาย,yai
grandparent,ปู่ย่าตายาย,puyatayai
grant,ทุน,thun
grass,หญ้า,ya
grateful,กตัญญู,katanyu
great,ยิ่งใหญ่,yingyai
green,สีเขียว,sikhiao
greet,ทักทาย,thakthai
grey,สีเทา,sithao
ground,พื้น,phuen
group,กลุ่ม,klum
grow,เจริญ,charoen
growth,การเจริญเติบโต,kancharoentoepto
guarantee,รับประกัน,rapprakan
guard,ยาม,yam
guess,เดา,dao
guest,แขก,khaek
guide,คู่มือ,khumue
guilty,รู้สึกผิด,rusuekphit
guitar,กีตาร์,kita
gun,ปืน,puen
guy,ผู้ชาย,phuchai
gym,ยิม,yim
habit,นิสัย,nisai
hair,ผม,phom
half,ครึ่ง,khrueng
hall,ห้องโถง,hongthong
hand,มือ,mue
handle,ด้ามจับ,damchap
hang,แขวน,khwaen
happen,เกิดขึ้น,koetkhuen
happily,เป็นสุข,pensuk
happiness,ความสุข,khwamsuk
happy,มีความสุข,mikhwamsuk
hard,ยาก,yak
hardly,แทบจะไม่,thaepchamai
harm,อันตราย,antrai
harmful,เป็นอันตราย,pen-antrai
hat,หมวก,muak
hate,เกลียด,kliat
have,มี,mi
have to modal,มีการกิริยา,mikankiriya
he,เขา,khao
head,ศีรษะ,sirasa
headache,อาการปวดหัว,akanpuathua
headline,พาดหัว,phathua
health,สุขภาพ,sukphap
healthy,แข็งแรง,khaengraeng
hear,ได้ยิน,daiyin
hearing,การได้ยิน,kandaiyin
heart,หัวใจ,huachai
heat,ความร้อน,khwamron
heating,เครื่องทำความร้อน,khrueangthamkhwamron
heaven,สวรรค์,sawan
heavily,หนัก,nak
heavy,หนัก,nak
heel,ส้น,son
height,ความสูง,khwamsung
helicopter,เฮลิคอปเตอร์,lekhopaooe
hell,นรก,narok
hello,สวัสดี,sawatdi
help,ช่วยด้วย,chuaiduai
helpful,เป็นประโยชน์,penprayot
her,เธอ,thoe
here,ที่นี่,thini
hero,พระเอก,phra-ek
hers,ของเธอ,khongthoe
herself,ตัวเธอเอง,tuatho--eng
hesitate,ลังเล,langle
hey,เฮ้,he
hi,สวัสดี,sawatdi
hide,ซ่อน,son
high,สูง,sung
highlight,ไฮไลท์,hailai
highly,อย่างมาก,yangmak
hill,เนินเขา,noenkhao
him,เขา,khao
himself,ตัวเขาเอง,tuakhao-eng
hire,จ้าง,chang
his,ของเขา,khongkhao
historic,ประวัติศาสตร์,prawattisat
historical,ประวัติศาสตร์,prawattisat
history,ประวัติศาสตร์,prawattisat
hit,ตี,ti
hobby,งานอดิเรก,ngan-adirek
hockey,ฮอกกี้,hokki
hold,ถือ,thue
hole,รู,ru
holiday,วันหยุด,wanyut
hollow,กลวง,kluang
holy,ศักดิ์สิทธิ์,saksit
home,บ้าน,ban
homework,การบ้าน,kanban
honest,ซื่อสัตย์,suesat
honour,เกียรติ,kiat
hope,ความหวัง,khwamwang
horrible,น่ากลัว,naklua
horror,ความน่ากลัว,khwamnaklua
horse,ม้า,ma
hospital,โรงพยาบาล,rongphayaban
host,เจ้าภาพ,chaophap
hot,ร้อน,ron
hotel,โรงแรม,rongraem
hour,ชั่วโมง,chuamong
house,บ้าน,ban
household,ครัวเรือน,khruaruean
housing,การเคหะ,kankheha
how,อย่างไร,yangrai
however,อย่างไรก็ตาม,yangraikotam
huge,ใหญ่,yai
human,เป็นมนุษย์,penmanut
humorous,ตลก,talok
humour,อารมณ์ขัน,aromkhan
hundred,ร้อย,roi
hungry,หิว,hio
hunt,ล่า,la
hunting,การล่าสัตว์,kanlasat
hurricane,พายุเฮอริเคน,phayuhoerikhen
hurry,รีบเร่ง,ripreng
hurt,เจ็บ,chep
husband,สามี,sami
ice,น้ำแข็ง,namkhaeng
ice cream,ไอศครีม,aitkhrim
idea,ความคิด,khwamkhit
ideal,ในอุดมคติ,nai-udomkhati
identify,แยกแยะ,yaekyae
identity,เอกลักษณ์,eklak
if,ถ้า,tha
ignore,ไม่สนใจ,maisonchai
ill,ป่วย,puai
illegal,ที่ผิดกฎหมาย,thiphitkotmai
illness,การเจ็บป่วย,kancheppuai
illustrate,แสดง,sadang
illustration,ภาพประกอบ,phapprakop
image,ภาพ,phap
imaginary,สมมุติขึ้น,sommutikhuen
imagination,จินตนาการ,chintanakan
imagine,จินตนาการ,chintanakan
immediate,ทันทีทันใด,thanthithandai
immediately,ทันที,thanthi
immigrant,ผู้อพยพ,phu-ophayop
impact,ส่งผลกระทบ,songphonkrathop
impatient,ใจร้อน,chairon
imply,บ่งบอกถึง,bongbokthueng
import,นำเข้า,namkhao
importance,ความสำคัญ,khwamsamkhan
important,สำคัญ,samkhan
impose,กำหนด,kamnot
impossible,เป็นไปไม่ได้,penpaimaidai
impress,ประทับใจ,prathapchai
impressed,ประทับใจ,prathapchai
impression,ความประทับใจ,khwamprathapchai
impressive,ประทับใจ,prathapchai
improve,ทำให้ดีขึ้น,thamhaidikhuen
improvement,การปรับปรุง,kanprapprung
in,ใน,nai
inch,นิ้ว,nio
incident,อุบัติการณ์,ubatikan
include,ประกอบด้วย,prakopduai
included,ที่รวมอยู่,thiruamyu
including,รวมทั้ง,ruamthang
income,เงินได้,ngoendai
increase,เพิ่มขึ้น,phoemkhuen
increasingly,ขึ้น,khuen
incredible,เหลือเชื่อ,lueachuea
incredibly,เหลือเชื่อ,lueachuea
indeed,จริง,ching
independent,อิสระ,isara
indicate,แสดง,sadang
indirect,ทางอ้อม,thang-om
individual,รายบุคคล,raibukkhon
indoor,ในร่ม,nairom
indoors,ในบ้าน,naiban
industrial,ด้านอุตสาหกรรม,dan-utsahakam
industry,อุตสาหกรรม,utsahakam
infection,การติดเชื้อ,kantitchuea
influence,มีอิทธิพล,mi-itthiphon
inform,แจ้ง,chaeng
informal,ไม่เป็นทางการ,maipenthangkan
information,ข้อมูล,khomun
ingredient,ส่วนผสม,suanphasom
initial,แรกเริ่ม,raekroem
initially,ในขั้นต้น,naikhanton
initiative,ความคิดริเริ่ม,khwamkhitriroem
injure,ได้รับบาดเจ็บ,dairapbatchep
injured,ที่ได้รับบาดเจ็บ,thidairapbatchep
injury,ความเสียหาย,khwamsiahai
inner,ภายใน,phainai
innocent,ผู้บริสุทธิ์,phuborisut
insect,แมลง,maleng
inside,ภายใน,phainai
insight,ข้อมูลเชิงลึก,khomunchoengluek
insist,ยืนยัน,yuenyan
inspire,สร้างแรงบันดาลใจ,sangraengbandanchai
install,ติดตั้ง,tittang
instance,ตัวอย่าง,tuayyang
instead,แทน,thaen
institute,สถาบัน,sathaban
institution,สถาบัน,sathaban
instruction,คำแนะนำ,khamnaenam
instructor,อาจารย์ผู้สอน,achanphuson
instrument,เครื่องดนตรี,khrueangdontri
insurance,ประกันภัย,prakanphai
intelligence,สติปัญญา,satipanya
intelligent,ฉลาด,chalat
intend,ตั้งใจ,tangchai
intended,ตั้งใจว่า,tangchaiwa
intense,เข้มข้น,khemkhon
intention,ความตั้งใจ,khwamtangchai
interest,น่าสนใจ,nasonchai
interested,สนใจ,sonchai
interesting,น่าสนใจ,nasonchai
internal,ภายใน,phainai
international,ระหว่างประเทศ,rawangprathet
internet,อินเทอร์เน็ต,inthoenet
interpret,ตีความ,tikhwam
interrupt,ขัดจังหวะ,khatchangwa
interview,สัมภาษณ์,samphat
into,เข้าไป,khaopai
introduce,แนะนำ,nanam
introduction,บทนำ,bothanam
invent,คิดค้น,khitkhon
invention,การประดิษฐ์,kanpradit
invest,ลงทุน,longthun
investigate,สอบสวน,sopsuan
investigation,ตรวจสอบ,truatsop
investment,การลงทุน,kanlongthun
invitation,คำเชิญ,khamchoen
invite,เชิญ,choen
involve,รวมถึง,ruamthueng
involved,ที่เกี่ยวข้อง,thikiaokhong
iron,เหล็ก,lek
island,เกาะ,ko
issue,ปัญหา,panha
it,มัน,man
item,สิ่งของ,singkhong
its,ของมัน,khongman
itself,ตัวเอง,tua-eng
jacket,แจ็คเก็ต,chaekket
jam,แยม,yaem
jazz,แจ๊ส,chaet
jeans,กางเกงยีนส์,kangkengyin
jewellery,เครื่องเพชรพลอย,khrueangphetphloi
job,งาน,ngan
join,ร่วม,ruam
joke,เรื่องตลก,rueangtalok
journal,วารสาร,warasan
journalist,นักข่าว,nakkhao
journey,การเดินทาง,kandoenthang
joy,ความปิติยินดี,khwampitiyindi
judge,ผู้พิพากษา,phuphiphaksa
judgement,การตัดสิน,kantatsin
juice,น้ำผลไม้,namphonmai
jump,กระโดด,kradot
junior,อนุ,anu
just,แค่,khae
justice,ความยุติธรรม,khwamyutitham
justify,แสดงให้เห็นถึง,sadaenghaihenthueng
keen,กระตือรือร้น,kratuerueron
keep,เก็บ,kep
key,สำคัญ,samkhan
keyboard,แป้นพิมพ์,paenphim
kick,เตะ,te
kid,เด็ก,dek
kill,ฆ่า,kha
killing,ที่ฆ่า,thikha
kilometre,กิโลเมตร,kilomet
kind(caring),ชนิด (ดูแล),chanit phadulae
kind(type),ชนิด (ชนิด),chanit botchanit
king,กษัตริย์,kasatri
kiss,จูบ,chup
kitchen,ครัว,khrua
knee,เข่า,khao
knife,มีด,mit
knock,เคาะ,khao
know,ทราบ,sap
knowledge,ความรู้,khwamru
lab,ห้องปฏิบัติการ,hongpatibattan
label,ฉลาก,chalak
laboratory,ห้องปฏิบัติการ,hongpatibattan
labour,แรงงาน,raengngan
lack,ไม่มี,maimi
lady,ผู้หญิง,phuying
lake,ทะเลสาป,thalesap
lamp,โคมไฟ,khomfai
land,ที่ดิน,thidin
landscape,ภูมิประเทศ,phumprathet
language,ภาษา,phasa
laptop,แล็ปท็อป,laepthop
large,ใหญ่,yai
largely,ส่วนใหญ่,suanyai
last1 (final),last1 (สุดท้าย),yari  sutthai
last1 (taking time),last1 (สละเวลา),yari  sasalawela
late,สาย,sai
later,ต่อมา,toma
latest,ล่าสุด,lasut
laugh,หัวเราะ,huaro
laughter,เสียงหัวเราะ,sianghuaro
launch,เปิด,poet
law,กฎหมาย,kotmai
lawyer,ทนายความ,thanaikhwam
lay,วาง,wang
layer,ชั้น,chan
lazy,ขี้เกียจ,khikiat
lead,ตะกั่ว,takua
leader,หัวหน้า,huana
leadership,ความเป็นผู้นำ,khwampenphunam
leading,ชั้นนำ,channam
leaf,ใบไม้,baimai
league,พันธมิตร,phanthamit
lean,ยัน,yan
learn,เรียน,rian
learning,การเรียนรู้,kanrianru
least,น้อยที่สุด,noithisut
leather,หนังสัตว์,nangsat
leave,ออกจาก,okchak
lecture,คำบรรยาย,khambanyai
left,ซ้าย,sai
leg,ขา,kha
legal,ถูกกฎหมาย,thukkotmai
leisure,ที่เดินทางมาพักผ่อน,thidoenthangmaphakphon
lemon,มะนาว,manao
lend,ยืม,yuem
length,ความยาว,khwamyao
less,น้อยกว่า,noikwa
lesson,บทเรียน,botrian
let,ปล่อย,ploi
letter,จดหมาย,chotmai
level,ชั้น,chan
library,ห้องสมุด,hongsamut
licence,อนุญาต,anuyat
lie,โกหก,kohok
lie,โกหก,kohok
life,ชีวิต,chiwit
lifestyle,วิถีการดำเนินชีวิต,withikandamnoenchiwit
lift,ยก,yok
light (from the sun/a lamp),แสง (จากดวงอาทิตย์ / หลอดไฟ),saeng phachakduang-athitpai
light (not heavy),แสง (ไม่หนัก),saeng phamainak
like (find sb/sth pleasant),เช่น (พบ SB / ฏรื่นรมย์),chen phop ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap 
like (similar),เหมือน (คล้าย),muean phakhlai
likely,เป็นไปได้,penbaidai
limit,จำกัด,chamkat
limited,ถูก จำกัด,thuk chamkat
line,ไลน์,lai
link,ลิงค์,ling
lion,สิงโต,singto
lip,ฝีปาก,fipak
liquid,ของเหลว,khongleo
list,รายการ,raikan
listen,ฟัง,fang
listener,ผู้ฟัง,phufang
literature,วรรณกรรม,wannakam
little,น้อย,noi
live1,live1,yarara a
live2,live2,yararok
lively,สดใส,sotsai
living,การดำรงชีวิต,kandamrongchiwit
load,ภาระ,phara
loan,เงินกู้,ngoenku
local,ในประเทศ,naiprathet
locate,ตั้งอยู่,tangyu
located,ที่ตั้งอยู่,thitangyu
location,ที่ตั้ง,thitang
lock,ล็อค,lok
logical,ตรรกะ,tanka
lonely,โดดเดี่ยว,dotdiao
long,ยาว,yao
long-term,ระยะยาว,rayayao
look,ดู,du
loose,หลวม,luam
lord,เจ้า,chao
lorry,รถบรรทุก,rotbanthuk
lose,แพ้,phae
loss,การสูญเสีย,kansunsia
lost,สูญหาย,sunhai
lot,จำนวนมาก,chamnuanmak
loud,ดัง,dang
loudly,ลั่น,lan
love,รัก,rak
lovely,น่ารัก,narak
low,ต่ำ,tam
lower,ลดลง,lotlong
luck,โชค,chok
lucky,โชคดี,chokdi
lunch,อาหารกลางวัน,ahanklangwan
lung,ปอด,pot
luxury,หรูหรา,rura
machine,เครื่อง,khrueang
mad,บ้า,ba
magazine,นิตยสาร,nitayasan
magic,มายากล,mayakon
mail,อีเมล,imen
main,หลัก,lak
mainly,ส่วนใหญ่,suanyai
maintain,เก็บรักษา,kepraksa
major,สำคัญ,samkhan
majority,ส่วนใหญ่,suanyai
make,แต่งหน้า,taengna
male,ชาย,chai
mall,ห้างสรรพสินค้า,hangsapphasinkha
man,ชาย,chai
manage,จัดการ,chatkan
management,การจัดการ,kanchatkan
manager,ผู้จัดการ,phuchatkan
manner,ลักษณะ,laksana
many,จำนวนมาก,chamnuanmak
map,แผนที่,phaenthi
mark,เครื่องหมาย,khrueangmai
market,ตลาด,talat
marketing,การตลาด,kantalat
marriage,การแต่งงาน,kantaengngan
married,แต่งงาน,taengngan
marry,แต่งงาน,taengngan
mass,มวล,muan
massive,มาก,mak
master,เจ้านาย,chaonai
match (contest/correspond),การแข่งขัน (การประกวด / ตรง),kankhaengkhan phan phan phan phan phan phan phan phan phan phan phan phan phan phan phan phan phan p
matching,การจับคู่,kanchapkhu
material,วัสดุ,watsud
mathematics,คณิตศาสตร์,khanitsat
maths,เลข,lek
matter,เรื่อง,rueang
maximum,ขีดสุด,khitsut
may modal,อาจเป็นกิริยาช่วย,atpenkiriyachuai
maybe,อาจจะ,atcha
me,ผม,phom
meal,อาหาร,ahan
mean,ค่าเฉลี่ย,khachalia
meaning,ความหมาย,khwammai
means,วิธี,withi
meanwhile,ในขณะเดียวกัน,naikhanadiaokan
measure,วัด,wat
measurement,การวัด,kanwat
meat,เนื้อ,nuea
media,สื่อ,sue
medical,ทางการแพทย์,thangkanphaet
medicine,ยา,ya
medium,กลาง,klang
meet,พบกัน,phopkan
meeting,ประชุม,prachum
melt,ละลาย,lalai
member,สมาชิก,samachik
memory,หน่วยความจำ,nuaikhwamcham
mental,ทางใจ,thangchai
mention,กล่าวถึง,klaothueng
menu,เมนู,menu
mess,ความยุ่งเหยิง,khwamyungyoeng
message,ข่าวสาร,khaosan
metal,โลหะ,loha
method,วิธี,withi
metre,เมตร,met
middle,กลาง,klang
midnight,เที่ยงคืน,thiangkhuen
might modal,อาจเป็นกิริยาช่วย,atpenkiriyachuai
mild,อ่อน,on
mile,ไมล์,mai
military,ทหาร,thahan
milk,นม,nom
million number,ล้านหมายเลข,lanmailek
mind,ใจ,chai
mine (belongs to me),การเหมืองแร่ (เป็นของฉัน),kanmueangrae phepenkhongchan
mine (hole in the ground),การเหมืองแร่ (หลุมในดิน),kanmueangrae  hlumnaidino
mineral,แร่,rae
minimum,ขั้นต่ำ,khantam
minister,รัฐมนตรี,ratthamontri
minor,ผู้เยาว์,phuyao
minority,ชนกลุ่มน้อย,chonklumnoi
minute,นาที,nathi
mirror,กระจกเงา,krachokngao
miss,นางสาว,nangsao
missing,หายไป,haipai
mission,หน้าที่,nathi
mistake,ผิดพลาด,phitphlat
mix,ผสม,phasom
mixed,ผสม,phasom
mixture,สารผสม,sarophasom
mobile,โทรศัพท์มือถือ,thorasapmuethue
model,แบบ,baep
modern,ทันสมัย,thansamai
modify,ปรับเปลี่ยน,prapplian
moment,ขณะ,khana
money,เงิน,ngoen
monitor,หน้าจอ,nacho
monkey,ลิง,ling
month,เดือน,duean
mood,อารมณ์,arom
moon,ดวงจันทร์,duangchan
moral,คุณธรรม,khuntham
more,มากกว่า,makkwa
morning,ตอนเช้า,tonchao
most,มากที่สุด,makthisut
mostly,ส่วนใหญ่,suanyai
mother,แม่,mae
motor,เครื่องยนต์,khrueangyon
motorcycle,รถจักรยานยนต์,rotchakrayanyon
mount,ภูเขา,phukhao
mountain,ภูเขา,phukhao
mouse,เม้าส์,mao
mouth,ปาก,pak
move,ย้าย,yai
movement,การเคลื่อนไหว,kankhlueanwai
movie,หนัง,nang
much,มาก,mak
mud,โคลน,khlon
multiple,หลายอย่าง,laiyang
multiply,คูณ,khun
mum,แม่,mae
